playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
14128,Joey Gallo,NYY,147,637,522.2796208530806,108.68246445497631,18.113744075829384,1.0063191153238547,40.25276461295418,91.57503949447077,99.62559241706161,101.63823064770932,218.3712480252765,7.044233807266983,4.025276461295419,2.0126382306477093,0.20800000000000002,0.342,0.48100000000000004,0.823,0.35,124,0.8050552922590838,1.9120063191153238,19.12006319115324,-5.6353870458135855,3.5221169036334916,175.8
9874,DJ LeMahieu,NYY,149,644,570.2666666666667,162.4,27.066666666666666,1.8666666666666667,15.866666666666667,88.66666666666667,63.46666666666667,58.8,88.66666666666667,4.666666666666667,5.6,1.8666666666666667,0.285,0.354,0.42100000000000004,0.775,0.337,115,-0.37333333333333335,1.3066666666666664,11.106666666666666,-0.7466666666666667,3.2666666666666666,111.2
16505,Matt Chapman,OAK,151,651,562.2741679873217,123.80348652931855,25.79239302694136,4.126782884310618,27.855784469096672,77.37717908082408,81.5039619651347,74.28209191759113,194.9904912836767,7.2218700475435815,3.0950871632329635,2.063391442155309,0.21899999999999997,0.316,0.42700000000000005,0.743,0.321,107,0.4126782884310618,4.952139461172742,6.087004754358162,7.531378763866878,3.6109350237717908,189.6
19197,Will Smith,LAD,126,509,436.5771543086172,108.12424849699399,20.40080160320641,2.0400801603206413,26.521042084168336,70.38276553106212,76.50300601202406,57.122244488977955,106.08416833667334,10.200400801603205,2.0400801603206413,1.0200400801603207,0.248,0.345,0.48200000000000004,0.8270000000000001,0.35200000000000004,122,-1.2240480961923847,0.10200400801603206,13.260521042084168,4.896192384769539,3.4681362725450904,60.2
21523,Jonathan India,CIN,149,644,549.1546391752577,141.31958762886597,30.350515463917525,1.8969072164948453,21.81443298969072,91.05154639175258,67.34020618556701,69.23711340206187,139.42268041237114,15.175257731958762,11.381443298969073,3.7938144329896906,0.257,0.354,0.43700000000000006,0.7909999999999999,0.344,110,-0.18969072164948456,0.8536082474226805,7.587628865979381,3.2247422680412368,3.2247422680412368,90.6
18564,Trent Grisham,SDP,139,602,517.7774244833068,127.29093799682035,25.84101748807631,2.871224165341812,20.09856915739269,83.26550079491255,64.12400635930048,67.9523052464229,130.16216216216216,6.699523052464229,15.313195548489666,5.742448330683624,0.24600000000000002,0.33899999999999997,0.428,0.767,0.332,111,0.4785373608903021,1.7227344992050875,8.517965023847378,3.924006359300477,3.2540540540540537,137.1
13301,Max Muncy,LAD,131,567,468.3479789103691,116.58875219683655,20.926186291739892,0.9964850615114235,29.894551845342708,83.70474516695957,86.69420035149385,85.69771528998243,122.5676625659051,7.971880492091388,1.992970123022847,0.9964850615114235,0.249,0.37200000000000005,0.49200000000000005,0.863,0.369,133,-0.19929701230228472,2.0926186291739897,23.915641476274164,-9.366959578207382,3.2884007029876976,146.4
5038,Josh Donaldson,MIN,138,595,501.72442244224425,124.6947194719472,26.50990099009901,0.9818481848184819,29.455445544554458,85.42079207920791,82.47524752475248,79.52970297029704,132.54950495049505,6.872937293729373,0.9818481848184819,0.9818481848184819,0.249,0.35700000000000004,0.479,0.8370000000000001,0.358,128,-1.6691419141914192,-3.24009900990099,18.85148514851485,-6.2838283828382835,3.24009900990099,195.7
15711,Tyler O'Neill,STL,146,630,566.1014263074485,141.77496038034866,23.961965134706816,1.9968304278922346,36.94136291600634,84.86529318541997,99.84152139461172,48.92234548335975,190.6973058637084,8.985736925515056,12.979397781299525,4.992076069730587,0.251,0.318,0.494,0.812,0.344,119,0.9984152139461173,3.394611727416799,16.1743264659271,-3.9936608557844693,3.2947702060221866,49.9
18360,Austin Riley,ATL,154,665,597.1638330757341,163.42349304482227,30.834621329211746,2.05564142194745,33.91808346213292,89.42040185471407,102.78207109737248,53.446676970633696,165.4791344667697,9.250386398763524,1.027820710973725,1.027820710973725,0.27399999999999997,0.34,0.499,0.8390000000000001,0.35600000000000004,120,-1.5417310664605872,-6.269706336939722,15.3145285935085,-3.70015455950541,3.391808346213292,48.7
4949,Giancarlo Stanton,NYY,138,595,518.2579564489113,138.53433835845897,23.91959798994975,0.9966499162479062,38.869346733668344,89.69849246231155,101.65829145728642,64.78224455611391,161.4572864321608,4.98324958123953,0.9966499162479062,0.9966499162479062,0.268,0.353,0.539,0.892,0.376,141,-1.793969849246231,0.0,28.105527638190953,-15.846733668341708,3.28894472361809,96.2
21711,Oneil Cruz,PIT,112,483,440.7242888402626,123.65645514223196,23.251641137855582,3.1706783369803064,22.194748358862146,60.24288840262582,67.64113785557987,33.820568927789935,102.51859956236324,4.227571115973742,14.796498905908095,6.341356673960613,0.281,0.335,0.498,0.833,0.354,122,-0.10568927789934354,0.10568927789934354,13.316849015317286,5.178774617067835,3.487746170678337,214.0
15172,Tim Anderson,CHW,154,665,619.8338150289018,175.8598265895954,32.67341040462428,1.921965317919075,22.102601156069362,91.29335260115607,72.07369942196532,29.790462427745663,138.3815028901734,4.804913294797688,18.258670520231213,5.765895953757225,0.28300000000000003,0.319,0.44799999999999995,0.767,0.32799999999999996,108,2.402456647398844,-7.880057803468207,9.321531791907514,-0.6726878612716762,3.1712427745664735,33.3
18036,Jake Cronenworth,SDP,146,630,558.5869565217391,150.65217391304347,31.304347826086953,4.891304347826087,16.630434782608695,76.30434782608697,77.28260869565217,56.73913043478261,94.8913043478261,8.804347826086957,6.8478260869565215,2.9347826086956523,0.26899999999999996,0.34299999999999997,0.431,0.775,0.33299999999999996,111,-0.2934782608695652,2.0543478260869565,8.706521739130435,1.7608695652173914,3.130434782608696,120.1
15986,Willy Adames,MIL,143,616,542.4331210191083,137.3248407643312,28.445859872611464,0.9808917197452229,22.560509554140125,79.45222929936305,74.54777070063695,61.796178343949045,165.77070063694268,3.9235668789808917,6.86624203821656,2.9426751592356686,0.252,0.33,0.43700000000000006,0.767,0.331,105,0.49044585987261147,-1.373248407643312,4.217834394904458,5.591082802547771,3.040764331210191,129.6
13152,Jorge Polanco,MIN,149,644,580.9785932721712,154.5993883792049,33.48012232415902,1.9694189602446484,23.63302752293578,83.70030581039755,81.7308868501529,49.235474006116206,112.25688073394495,5.908256880733945,10.831804281345565,4.92354740061162,0.267,0.32799999999999996,0.45399999999999996,0.782,0.335,113,0.4923547400611621,-9.551681957186544,10.536391437308868,-2.46177370030581,2.9541284403669725,78.2
sa3011225,Bobby Witt Jr.,KCR,134,581,528.7633027522936,140.7192660550459,30.915596330275232,3.198165137614679,25.585321100917433,75.68990825688074,79.95412844036697,37.31192660550459,123.66238532110093,6.396330275229358,19.188990825688073,7.462385321100918,0.267,0.321,0.48100000000000004,0.802,0.341,114,0.10660550458715597,0.0,10.340733944954128,2.1321100917431193,3.198165137614679,95.6
11477,Christian Yelich,MIL,149,644,539.2765957446808,138.97872340425533,26.425531914893615,2.9361702127659575,25.4468085106383,87.1063829787234,85.14893617021276,91.02127659574468,155.61702127659575,6.8510638297872335,12.72340425531915,3.9148936170212765,0.257,0.369,0.45799999999999996,0.8270000000000001,0.355,120,1.3702127659574468,-1.5659574468085107,18.00851063829787,-9.787234042553191,2.9361702127659575,100.7
18568,Luis Arraez,MIN,144,623,554.4401913875598,165.93460925039875,29.80861244019139,4.968102073365231,5.961722488038277,76.50877192982456,56.63636363636364,55.64274322169059,61.60446570972886,3.974481658692185,4.968102073365231,1.9872408293460926,0.299,0.364,0.40299999999999997,0.7659999999999999,0.335,112,0.19872408293460925,-2.3846889952153107,9.638118022328548,-0.9936204146730463,2.9808612440191387,311.9
15491,J.P. Crawford,SEA,154,665,586.8825301204819,151.2274096385542,33.049698795180724,1.0015060240963856,12.018072289156626,78.11746987951807,58.087349397590366,63.09487951807229,113.17018072289157,6.009036144578313,8.012048192771084,3.0045180722891565,0.258,0.33299999999999996,0.38,0.7140000000000001,0.314,103,-0.3004518072289156,-2.1031626506024095,1.9028614457831323,5.408132530120483,3.0045180722891565,381.2
19352,Sean Murphy,OAK,115,460,402.3665893271462,91.78654292343387,20.278422273781903,1.0672853828306264,18.143851508120648,52.29698375870069,55.498839907192576,43.75870069605568,113.1322505800464,7.470997679814385,1.0672853828306264,1.0672853828306264,0.22699999999999998,0.312,0.419,0.731,0.317,104,-0.5336426914153132,0.42691415313225056,1.814385150812065,6.937354988399072,3.201856148491879,239.2
18577,Ke'Bryan Hayes,PIT,139,602,536.9953051643192,142.2566510172144,31.089201877934276,2.8262910798122065,16.01564945226917,78.1940532081377,60.29420970266041,50.87323943661972,125.29890453834116,4.710485133020344,11.305164319248826,3.7683881064162756,0.265,0.332,0.424,0.7559999999999999,0.326,104,0.37683881064162755,2.6378716744913926,3.3915492957746483,4.80469483568075,2.8262910798122065,142.2
9241,Starling Marte,NYM,134,581,521.6556836902801,139.74629324546953,26.800658978583197,1.9143327841845141,17.228995057660626,79.44481054365733,67.001647446458,38.28665568369028,111.03130148270182,13.400329489291599,28.71499176276771,8.614497528830313,0.26899999999999996,0.332,0.42700000000000005,0.759,0.32799999999999996,110,2.680065897858319,-3.2543657331136737,10.145963756177924,-1.0528830313014828,2.871499176276771,28.5
16622,Luis Urías,MIL,138,595,515.387323943662,130.94190140845072,26.18838028169014,2.0950704225352115,19.903169014084504,71.23239436619718,70.18485915492957,62.852112676056336,118.37147887323944,9.42781690140845,6.285211267605634,2.0950704225352115,0.255,0.344,0.431,0.7759999999999999,0.336,108,-0.7332746478873239,3.0378521126760565,5.342429577464789,5.970950704225352,3.142605633802817,155.7
17929,Cedric Mullins,BAL,152,658,586.0768094534712,151.6218611521418,29.15805022156573,3.8877400295420976,23.326440177252586,89.41802067946826,70.95125553914329,54.42836041358937,124.40768094534712,6.803545051698671,25.270310192023633,8.747415066469719,0.259,0.327,0.44299999999999995,0.77,0.33,108,1.7494830132939438,-4.956868537666174,7.9698670605613,-2.5270310192023637,2.818611521418021,32.3
17128,Ramón Laureano,OAK,126,546,482.9241877256318,118.26714801444044,25.624548736462096,1.9711191335740073,20.696750902527075,68.00361010830325,66.03249097472924,44.35018050541516,136.9927797833935,11.826714801444043,12.812274368231048,4.927797833935018,0.245,0.321,0.434,0.7559999999999999,0.326,110,0.788447653429603,-0.29566787003610107,7.785920577617329,1.8725631768953066,2.8581227436823102,229.0
18030,Harrison Bader,STL,139,602,529.8501872659176,130.77153558052436,25.928838951310862,2.254681647940075,20.292134831460675,73.27715355805243,71.02247191011236,51.857677902621724,145.42696629213484,11.273408239700375,14.655430711610487,5.6367041198501875,0.24600000000000002,0.324,0.42,0.7440000000000001,0.319,102,1.1273408239700375,6.651310861423221,2.9310861423220973,9.356928838951312,3.269288389513109,234.3
5235,Justin Turner,LAD,138,595,521.2396694214876,142.60330578512398,26.553719008264462,0.9834710743801652,22.6198347107438,78.67768595041322,83.59504132231405,56.05785123966942,101.29752066115702,11.801652892561984,2.950413223140496,0.9834710743801652,0.273,0.355,0.457,0.812,0.35100000000000003,122,-1.7702479338842976,-3.540495867768595,14.75206611570248,-6.589256198347107,2.7537190082644623,151.8
