"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Eury Rosado","TEX","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.95","4.54","6.61","7.16","7.11","","0.0","0.0","","999.0","sa3016489"
"Sandro Bargallo","MIA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.11","4.79","8.71","6.81","7.12","","0.0","0.0","","999.0","sa3009639"
"Carlos Rosario","NYY","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.48","6.90","7.14","7.12","","0.0","0.0","","999.0","sa3016233"
"Benjamin Arias","STL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.96","4.57","6.83","7.10","7.12","","0.0","0.0","","999.0","sa3008724"
"Dennis Herrera","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.48","7.46","6.97","7.12","","0.0","0.0","","999.0","sa916706"
"Wilberson Liendo","PHI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.73","7.15","7.08","7.12","","0.0","0.0","","999.0","sa3002688"
"Cristian Mena","CHW","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.67","6.91","7.16","7.13","","0.0","0.0","","999.0","sa3015302"
"Jose Franco","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.87","6.21","6.35","7.15","7.13","","0.0","0.0","","999.0","sa3008714"
"Jose Diaz","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.35","7.09","7.18","7.13","","0.0","0.0","","999.0","sa3005709"
"Victor Rodriguez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.44","7.32","7.20","7.13","","0.0","0.0","","999.0","sa3006975"
"Reidis Sena","BOS","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.05","4.74","7.51","7.37","7.13","","0.0","0.0","","999.0","sa3009626"
"Carlos Gutierrez","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.76","7.06","7.09","7.13","","0.0","0.0","","999.0","sa3009226"
"Gabriel Sosa","SEA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.61","7.26","7.11","7.13","","0.0","0.0","","999.0","sa3011682"
"Adriel Gonzalez","OAK","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.20","6.73","7.15","7.13","","0.0","0.0","","999.0","sa3009230"
"Giussepe Velasquez","PHI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.97","4.55","6.84","7.16","7.14","","0.0","0.0","","999.0","sa3016463"
"Jose Corniell","TEX","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.67","6.96","7.13","7.14","","0.0","0.0","","999.0","sa3015213"
"Francis Hernandez","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.44","6.53","7.19","7.14","","0.0","0.0","","999.0","sa3016223"
"Andriu Marin","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.95","4.93","6.72","7.19","7.14","","0.0","0.0","","999.0","sa872815"
"Odue Civada","SFG","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.06","4.54","7.84","7.21","7.14","","0.0","0.0","","999.0","sa3009203"
"Osvanni Gutierrez","LAD","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.71","7.09","7.10","7.14","","0.0","0.0","","999.0","sa3009730"
"Jenrry Gonzalez","LAA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","5.39","7.94","6.86","7.14","","0.0","0.0","","999.0","sa3006485"
"Ian Exposito","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.86","7.27","6.99","7.15","","0.0","0.0","","999.0","sa1172530"
"Andri Tavarez","TBR","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.69","7.48","7.01","7.15","","0.0","0.0","","999.0","sa3016588"
"Hendry Nunez","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.44","7.08","7.19","7.15","","0.0","0.0","","999.0","sa3006585"
"Jawilme Ramirez","NYM","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.97","4.63","6.89","7.16","7.15","","0.0","0.0","","999.0","sa3016204"
"Justin McGregor","CIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.92","4.17","5.73","7.30","7.15","","0.0","0.0","","999.0","sa3007492"
"Rafael Tua","LAD","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.97","4.76","6.95","7.16","7.17","","0.0","0.0","","999.0","sa3008692"
"Manuel Olivares","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","3.96","6.56","7.14","7.17","","0.0","0.0","","999.0","sa3009471"
"Alemao Hernandez","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.38","6.55","7.03","7.17","","0.0","0.0","","999.0","sa3002788"
"Felipe De La Cruz","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.47","7.14","7.04","7.17","","0.0","0.0","","999.0","sa3016065"
"Andres German","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.41","6.63","7.05","7.17","","0.0","0.0","","999.0","sa3002937"
"Maiker Manuel","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.94","4.53","6.46","7.20","7.17","","0.0","0.0","","999.0","sa3003068"
"Adrian Mardueno","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.89","4.58","6.04","7.20","7.17","","0.0","0.0","","999.0","sa1170287"
"Jorge Bautista","ATL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.35","6.92","7.24","7.17","","0.0","0.0","","999.0","sa3008406"
"Anderson Mercedes","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.81","7.74","7.00","7.18","","0.0","0.0","","999.0","sa3005711"
"Wilton Perez","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.34","6.79","7.00","7.18","","0.0","0.0","","999.0","sa3009207"
"Daniel Gonzalez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","5.07","8.12","6.85","7.19","","0.0","0.0","","999.0","sa3009482"
"Juan Rojas","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.78","7.57","7.05","7.19","","0.0","0.0","","999.0","sa3016285"
"Juan Martinez","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.57","7.25","7.21","7.19","","0.0","0.0","","999.0","sa3016278"
"Carlos Garcia","CHC","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.73","7.63","7.03","7.19","","0.0","0.0","","999.0","sa3015510"
"Nestor Lorant","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.96","4.84","6.78","7.23","7.19","","0.0","0.0","","999.0","sa3011640"
"Sean Thompson","CHW","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.84","4.06","5.28","7.05","7.20","","0.0","0.0","","999.0","sa3007595"
"Deivy Cruz","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.96","7.69","7.05","7.20","","0.0","0.0","","999.0","sa3016013"
"Tomas Cleto","MIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.35","6.80","7.25","7.20","","0.0","0.0","","999.0","sa3016009"
"Jason Morgan","CHW","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.92","3.26","5.80","7.02","7.21","","0.0","0.0","","999.0","sa3009920"
"Miguel Pozo","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.06","4.85","8.04","7.02","7.21","","0.0","0.0","","999.0","sa3016581"
"Julio Ayola","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.11","7.03","7.21","7.22","","0.0","0.0","","999.0","sa3009612"
"Gabriel Tapia","LAA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.84","7.51","7.04","7.22","","0.0","0.0","","999.0","sa3009779"
"Wuardo Fernandez","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.32","6.78","7.24","7.22","","0.0","0.0","","999.0","sa3006521"
"Hancel Rincon","STL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.96","4.55","6.74","7.23","7.22","","0.0","0.0","","999.0","sa3009629"
"Carlos Meza","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.61","7.65","7.08","7.22","","0.0","0.0","","999.0","sa3006410"
"Reibyn Corona","ATL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.48","7.03","7.31","7.23","","0.0","0.0","","999.0","sa3009521"
"Miguel Mora","SFG","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.57","6.86","7.28","7.23","","0.0","0.0","","999.0","sa3015985"
"Yonathan Matos","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.49","7.80","7.27","7.23","","0.0","0.0","","999.0","sa3002997"
"Yonael Dominguez","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.34","6.51","7.25","7.23","","0.0","0.0","","999.0","sa3009750"
"Kevin Hernandez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.08","4.90","8.50","6.80","7.24","","0.0","0.0","","999.0","sa3008451"
"Jorge Ferrer","CHW","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.05","4.78","7.90","7.07","7.24","","0.0","0.0","","999.0","sa3005708"
"Andrew Budier","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.94","7.58","7.01","7.24","","0.0","0.0","","999.0","sa3006111"
"Henry Gomez","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.87","6.29","7.29","7.24","","0.0","0.0","","999.0","sa3009993"
"Jean Munoz","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.48","7.32","7.24","7.24","","0.0","0.0","","999.0","sa3016594"
"Carlos Carreno","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.22","6.74","7.29","7.25","","0.0","0.0","","999.0","sa917564"
"Niklas Rimmel","MIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.48","6.57","7.48","7.25","","0.0","0.0","","999.0","sa3008426"
"Jonatan Bernal","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.09","6.33","7.22","7.25","","0.0","0.0","","999.0","sa3009271"
"Reny Artiles","CLE","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.65","7.26","7.28","7.25","","0.0","0.0","","999.0","sa3008716"
"Kevin Ribon","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.26","7.08","7.28","7.25","","0.0","0.0","","999.0","sa3015430"
"Alexis Ramirez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.73","7.19","7.23","7.26","","0.0","0.0","","999.0","sa3006545"
"Bryan Magdaleno","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.36","7.68","7.13","7.26","","0.0","0.0","","999.0","sa3016478"
"Edwin Jimenez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.62","7.20","7.24","7.26","","0.0","0.0","","999.0","sa3010800"
"Luis Serna","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.65","7.28","7.29","7.26","","0.0","0.0","","999.0","sa3016528"
"Wilker Reyes","MIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.08","4.37","7.80","7.27","7.26","","0.0","0.0","","999.0","sa3009477"
"Lisandro Almonte","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.52","7.34","7.27","7.26","","0.0","0.0","","999.0","sa3015497"
"Jose Valdez","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.73","7.39","7.27","7.26","","0.0","0.0","","999.0","sa3011438"
"Luis Osorio","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.82","7.68","7.25","7.26","","0.0","0.0","","999.0","sa3015988"
"Gerardo Abrego","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.74","7.04","7.28","7.26","","0.0","0.0","","999.0","sa3016741"
"Engels Martinez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.12","6.89","7.27","7.27","","0.0","0.0","","999.0","sa3009497"
"David Marcano","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.40","7.28","7.11","7.27","","0.0","0.0","","999.0","sa3006377"
"Jhan Zambrano","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.38","6.92","7.25","7.27","","0.0","0.0","","999.0","sa3009472"
"Abel Brito","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.26","7.18","7.31","7.27","","0.0","0.0","","999.0","sa3015458"
"Joiner Vicent","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.63","7.43","7.27","7.27","","0.0","0.0","","999.0","sa3015439"
"Yoscar Pimentel","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.20","6.99","7.30","7.28","","0.0","0.0","","999.0","sa3009599"
"Rael Santos","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.10","4.78","7.98","7.48","7.28","","0.0","0.0","","999.0","sa3006635"
"Enmanuel De La Cruz","CHC","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.26","7.11","7.27","7.28","","0.0","0.0","","999.0","sa3010378"
"Yoniel Curet","TBR","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.85","7.52","7.26","7.28","","0.0","0.0","","999.0","sa3015446"
"Gabriel Torres","TEX","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.63","7.63","7.13","7.28","","0.0","0.0","","999.0","sa3015447"
"Cesar Loaiza","NYM","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.57","7.48","6.98","7.29","","0.0","0.0","","999.0","sa3005892"
"Jordany Vasquez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.22","7.08","7.32","7.29","","0.0","0.0","","999.0","sa3008728"
"Carlos Mola","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.92","4.65","6.40","7.11","7.30","","0.0","0.0","","999.0","sa3006411"
"Yorman Gomez","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.44","6.80","7.37","7.30","","0.0","0.0","","999.0","sa3015931"
"Danny Chang","SEA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","5.12","8.11","6.95","7.30","","0.0","0.0","","999.0","sa3009989"
"Adan Frias","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.60","7.32","7.20","7.30","","0.0","0.0","","999.0","sa3003007"
"Rosmer Inojosa","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.67","7.04","7.36","7.31","","0.0","0.0","","999.0","sa3003088"
"Adrian Pena","LAA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.36","7.05","7.34","7.31","","0.0","0.0","","999.0","sa3016580"
"Abismael Paulino","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.88","6.31","7.32","7.31","","0.0","0.0","","999.0","sa3009231"
"Steven Perez","CLE","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.68","7.41","7.12","7.31","","0.0","0.0","","999.0","sa3008362"
"Pedro King","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.46","7.37","7.17","7.31","","0.0","0.0","","999.0","sa3006158"
"Brayan Castillo","COL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.56","7.28","7.30","7.31","","0.0","0.0","","999.0","sa3006544"
"Yonson Guerrero","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.07","7.28","7.31","7.31","","0.0","0.0","","999.0","sa3006131"
"Franklin Corniel","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.53","7.51","7.33","7.32","","0.0","0.0","","999.0","sa3016481"
"Weskendry Espinoza","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.11","6.81","7.36","7.32","","0.0","0.0","","999.0","sa3016046"
"Johzan Oquendo","CHC","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.07","4.71","7.87","7.36","7.32","","0.0","0.0","","999.0","sa3015148"
"Jeffri Ocando","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.01","5.72","7.98","7.32","","0.0","0.0","","999.0","sa923379"
"Tyler Benninghoff","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.68","7.16","7.54","7.33","","0.0","0.0","","999.0","sa918219"
"Juan De Los Santos","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.05","6.58","7.25","7.33","","0.0","0.0","","999.0","sa3010808"
"Leonard Garcia","LAA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.84","7.79","7.06","7.33","","0.0","0.0","","999.0","sa3015156"
"Victor Rodriguez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.07","4.82","8.05","7.03","7.33","","0.0","0.0","","999.0","sa3009780"
"Patricio Aquino","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.02","4.74","7.40","7.34","7.33","","0.0","0.0","","999.0","sa3016510"
"Darwin Cruz","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.28","6.64","7.37","7.33","","0.0","0.0","","999.0","sa3015978"
"Fabricio Reina","HOU","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","5.19","7.54","7.21","7.33","","0.0","0.0","","999.0","sa3003143"
"Ricardo Estrada","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.46","7.68","7.23","7.33","","0.0","0.0","","999.0","sa3016017"
"Endry Manrique","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.33","7.40","7.20","7.34","","0.0","0.0","","999.0","sa3006393"
"Livan Sanchez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.09","4.57","8.14","7.16","7.34","","0.0","0.0","","999.0","sa3004873"
"Diomede Sierra","ARI","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.10","4.51","8.17","7.16","7.34","","0.0","0.0","","999.0","sa3009586"
"Martin Salazar","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.73","6.69","7.44","7.34","","0.0","0.0","","999.0","sa3009506"
"Jorge Ramirez","WSN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.58","7.63","7.20","7.34","","0.0","0.0","","999.0","sa3009813"
"Ulices Campos","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.45","7.19","7.38","7.34","","0.0","0.0","","999.0","sa3015997"
"Brayan Mendoza","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.35","7.55","7.24","7.34","","0.0","0.0","","999.0","sa3015477"
"Gerson Calzadilla","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.24","7.14","7.37","7.34","","0.0","0.0","","999.0","sa3016621"
"Natanael Garabitos","SEA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","5.12","7.87","7.16","7.35","","0.0","0.0","","999.0","sa3011099"
"Lesther Medrano","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.35","6.97","7.40","7.35","","0.0","0.0","","999.0","sa3016470"
"Yordanny Monegro","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.49","7.43","7.38","7.35","","0.0","0.0","","999.0","sa3015476"
"Rafael Garcia","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.56","7.24","7.36","7.35","","0.0","0.0","","999.0","sa3008702"
"Orlando Barrios","TBR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.17","7.02","7.37","7.35","","0.0","0.0","","999.0","sa3009598"
"Cristian Pacheco","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.49","7.51","7.36","7.35","","0.0","0.0","","999.0","sa3005887"
"Nolberto Henriquez","NYY","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.49","7.20","7.37","7.35","","0.0","0.0","","999.0","sa3011137"
"Diego Navarro","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.49","6.64","7.40","7.36","","0.0","0.0","","999.0","sa3016591"
"Jeremy Peguero","NYM","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.10","4.72","8.36","7.16","7.36","","0.0","0.0","","999.0","sa3015429"
"Luilly Ovalle","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.49","7.29","7.31","7.36","","0.0","0.0","","999.0","sa3005841"
"Wilkin Ramos","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.22","7.61","7.39","7.36","","0.0","0.0","","999.0","sa3006487"
"Ferrol Heredia","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.48","7.91","7.21","7.36","","0.0","0.0","","999.0","sa3002978"
"Jose Gonzalez","OAK","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.46","7.46","7.34","7.36","","0.0","0.0","","999.0","sa3009473"
"Juan Gomez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.17","6.73","7.35","7.37","","0.0","0.0","","999.0","sa3002821"
"Kristian Cardozo","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.21","6.98","7.41","7.37","","0.0","0.0","","999.0","sa3014706"
"Jose Ramirez","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.20","7.68","7.35","7.37","","0.0","0.0","","999.0","sa3006702"
"Jesus Gomez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.09","7.72","7.24","7.37","","0.0","0.0","","999.0","sa3006409"
"Henry Lalane","NYY","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.36","7.81","7.26","7.37","","0.0","0.0","","999.0","sa3016066"
"Javier Fuenmayor","PHI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.12","7.00","7.42","7.37","","0.0","0.0","","999.0","sa3015965"
"Edinso Aleman","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.27","7.38","7.27","7.38","","0.0","0.0","","999.0","sa3006558"
"Jacob Gilliland","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.36","6.99","7.34","7.38","","0.0","0.0","","999.0","sa3007994"
"Israiky Berroa","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.55","6.75","7.37","7.38","","0.0","0.0","","999.0","sa3006515"
"Rolfi Jimenez","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.19","6.92","7.45","7.38","","0.0","0.0","","999.0","sa3016471"
"Starlin Santos","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.32","7.62","7.26","7.38","","0.0","0.0","","999.0","sa3016490"
"Lisandro Marin","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.31","6.79","7.42","7.38","","0.0","0.0","","999.0","sa3009512"
"Omar Hernandez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.09","4.64","8.14","7.24","7.39","","0.0","0.0","","999.0","sa3016060"
"Elkyn Chirinos","CIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.46","7.15","7.41","7.39","","0.0","0.0","","999.0","sa3011775"
"Wilmer Ortega","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.24","6.95","7.41","7.39","","0.0","0.0","","999.0","sa3009788"
"Samuel Mejia","TBR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.34","7.03","7.43","7.39","","0.0","0.0","","999.0","sa3016475"
"Kelvin Moncion","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.08","4.35","7.88","7.27","7.40","","0.0","0.0","","999.0","sa3005461"
"Gilberto Sosa","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.16","7.45","7.37","7.40","","0.0","0.0","","999.0","sa3009531"
"Yostin Villalobos","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.98","7.05","7.44","7.40","","0.0","0.0","","999.0","sa3010793"
"Fernando Olguin","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.95","7.31","7.36","7.40","","0.0","0.0","","999.0","sa3008571"
"Ricardo Leon","HOU","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.12","4.88","8.55","7.22","7.40","","0.0","0.0","","999.0","sa3007601"
"Jeffry Reynoso","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.23","7.03","7.40","7.40","","0.0","0.0","","999.0","sa3009744"
"Edgardo Ibarra","DET","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.07","4.66","7.93","7.30","7.40","","0.0","0.0","","999.0","sa3015348"
"Bryan Caceres","WSN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.08","4.30","7.60","7.51","7.41","","0.0","0.0","","999.0","sa3005687"
"Brayan Salaya","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.73","7.53","7.38","7.41","","0.0","0.0","","999.0","sa3003032"
"Daury Cabrera","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","3.56","7.28","7.49","7.42","","0.0","0.0","","999.0","sa3005706"
"Arielbi Gonzalez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.38","7.14","7.45","7.42","","0.0","0.0","","999.0","sa3016800"
"Kleiber Bordones","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.58","7.22","7.39","7.42","","0.0","0.0","","999.0","sa3006173"
"Fernando Chacon","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.30","7.42","7.39","7.43","","0.0","0.0","","999.0","sa3009489"
"Juanfer Castro","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.35","7.67","7.38","7.43","","0.0","0.0","","999.0","sa3008712"
"Luis Crisostomo","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.09","6.89","7.48","7.43","","0.0","0.0","","999.0","sa3009617"
"Jose Ruviera","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.13","7.24","7.48","7.43","","0.0","0.0","","999.0","sa3010804"
"Erasmo Moreno","MIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.46","7.55","7.61","7.43","","0.0","0.0","","999.0","sa3009248"
"Ramon Guzman","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.48","7.12","7.30","7.44","","0.0","0.0","","999.0","sa3003079"
"Andy Samuelson","ATL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.11","4.65","8.02","7.47","7.44","","0.0","0.0","","999.0","sa3010822"
"Luciano De La Cruz","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.25","7.48","7.48","7.45","","0.0","0.0","","999.0","sa3002618"
"Eduard Monroy","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.05","4.59","7.85","7.17","7.45","","0.0","0.0","","999.0","sa3011243"
"Adolfo Bauza","DET","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.08","4.65","7.89","7.47","7.45","","0.0","0.0","","999.0","sa3006384"
