"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"DJ LeMahieu","NYY","145","645","578","163","27","2","14","85","64","58","87","4","4","2","",".282",".350",".409",".759",".331","108","","2.9","","111.2","","2.85","0.12","0.98","9874"
"Whit Merrifield","KCR","148","657","607","171","36","4","12","88","65","38","96","5","30","7","",".282",".326",".414",".740",".319","100","","2.8","","30.9","","2.78","-0.35","1.85","11281"
"Brandon Nimmo","NYM","124","526","438","115","23","4","14","72","49","74","111","10","7","3","",".262",".380",".430",".810",".356","124","","2.8","","320.3","","4.15","-0.22","0.63","12927"
"Enrique Hernández","BOS","139","577","510","127","30","3","22","77","68","54","111","7","2","1","",".249",".326",".450",".776",".333","107","","2.7","","218.9","","4.00","-0.01","0.46","10472"
"Dansby Swanson","ATL","150","633","571","144","30","2","25","82","78","51","158","6","10","3","",".252",".317",".445",".761",".324","100","","2.7","","122.2","","2.77","0.04","0.47","18314"
"Willson Contreras","CHC","130","523","453","111","21","1","22","69","68","52","140","14","4","2","",".245",".339",".445",".784",".339","113","","2.7","","108.6","","2.11","-0.04","0.31","11609"
"Kyle Schwarber","","135","566","483","118","21","1","34","83","83","75","150","6","2","1","",".245",".352",".503",".855",".363","127","","2.7","","122.7","","2.35","1.07","1.01","16478"
"Brandon Crawford","SFG","130","530","471","122","25","2","17","66","68","49","109","5","5","3","",".258",".332",".432",".764",".326","105","","2.6","","214.1","","3.33","0.59","0.19","5343"
"Michael Conforto","","140","580","495","127","26","1","24","76","76","71","127","11","3","2","",".255",".360",".454",".814",".352","122","","2.6","","199.0","","1.88","0.41","0.41","16376"
"Luis Urías","MIL","140","548","480","120","24","2","19","69","65","56","114","10","5","2","",".251",".340",".427",".767",".333","106","","2.6","","155.7","","3.70","-0.58","0.09","16622"
"Gleyber Torres","NYY","140","579","515","135","25","1","20","74","69","56","115","4","12","5","",".263",".337",".435",".772",".333","110","","2.6","","151.9","","3.40","0.37","0.35","16997"
"Max Kepler","MIN","132","555","484","113","25","3","25","78","69","59","104","7","8","2","",".234",".324",".449",".773",".331","110","","2.6","","285.7","","1.80","1.57","0.77","12144"
"Sean Murphy","OAK","112","425","373","85","19","1","18","49","52","42","109","7","0","0","",".227",".316",".421",".738",".320","106","","2.6","","239.2","","1.64","0.03","0.41","19352"
"Alex Verdugo","BOS","144","607","548","158","35","2","15","86","66","50","98","4","6","2","",".287",".349",".445",".794",".341","112","","2.6","","161.7","","1.32","0.00","0.99","17027"
"Adley Rutschman","BAL","103","421","369","93","19","1","14","50","49","45","79","4","2","1","",".254",".338",".425",".763",".330","107","","2.6","","186.3","","4.88","1.11","0.46","sa3011643"
"Mitch Garver","MIN","106","409","356","85","18","1","20","53","55","45","118","5","1","1","",".239",".330",".466",".795",".341","116","","2.5","","181.5","","4.47","0.54","0.41","15161"
"Brandon Belt","SFG","123","507","434","109","22","3","26","72","70","65","123","6","3","2","",".250",".354",".492",".846",".361","128","","2.5","","230.9","","3.43","0.41","0.44","10264"
"Mitch Haniger","SEA","144","636","565","141","26","2","32","90","88","56","156","10","3","1","",".249",".324",".471",".795",".339","120","","2.5","","106.6","","3.35","-0.47","1.01","14274"
"J.P. Crawford","SEA","147","638","567","144","30","2","10","78","56","59","112","6","8","3","",".254",".328",".367",".695",".306","98","","2.5","","381.2","","1.60","-0.40","0.75","15491"
"Amed Rosario","CLE","140","580","544","151","26","6","13","73","61","30","116","3","16","4","",".278",".318",".420",".738",".318","101","","2.5","","165.2","","2.67","-1.85","1.05","15518"
"Bobby Witt Jr.","KCR","126","539","492","126","27","3","21","67","69","37","124","5","17","5","",".257",".313",".449",".763",".325","104","","2.5","","95.6","","4.82","-0.09","0.79","sa3011225"
"Jean Segura","PHI","134","580","530","149","27","3","15","74","63","39","85","7","9","3","",".281",".337",".427",".764",".330","104","","2.5","","199.6","","2.73","0.54","0.79","5933"
"Luis Arraez","MIN","134","551","496","149","27","4","4","67","50","47","53","2","3","2","",".300",".360",".397",".756",".330","109","","2.5","","311.9","","3.57","-0.91","1.64","18568"
"Kolten Wong","MIL","131","553","492","131","27","3","12","73","55","41","89","13","14","5","",".267",".337",".409",".747",".323","100","","2.5","","192.5","","3.11","0.80","0.92","12532"
"Ty France","SEA","142","589","526","144","28","1","19","73","72","41","108","18","0","0","",".273",".345",".438",".783",".340","120","","2.5","","140.3","","2.88","0.18","0.68","17982"
"Chris Taylor","LAD","138","551","485","123","27","4","19","78","71","56","153","6","11","3","",".254",".337",".443",".781",".337","112","","2.4","","135.6","","2.58","0.10","0.41","13757"
"Tommy Edman","STL","141","609","562","151","31","4","12","82","57","36","95","7","23","5","",".268",".318",".403",".721",".312","95","","2.4","","84.3","","3.16","-0.43","1.48","19470"
"Oneil Cruz","PIT","113","471","432","113","22","4","17","59","58","34","123","3","12","4","",".261",".318",".451",".768",".328","105","","2.4","","214.0","","3.50","-0.04","0.69","21711"
"Miguel Rojas","MIA","130","541","494","133","26","2","9","65","50","38","72","6","12","4","",".268",".326",".382",".708",".309","96","","2.3","","406.3","","2.39","1.07","1.02","7802"
"Nick Castellanos","","148","637","581","163","38","3","31","93","94","45","141","7","3","2","",".280",".337",".517",".853",".360","120","","2.3","","62.0","","2.79","-0.19","0.91","11737"
"Jared Walsh","LAA","141","583","522","137","29","2","29","77","91","48","148","6","2","1","",".262",".328",".493",".821",".347","120","","2.3","","117.2","","2.14","-0.34","0.83","18607"
"Dylan Carlson","STL","147","621","549","141","30","4","20","79","71","56","149","9","5","2","",".257",".332",".436",".768",".330","108","","2.3","","175.0","","3.70","0.61","0.30","20126"
"Giancarlo Stanton","NYY","136","579","508","133","22","0","35","77","93","63","160","5","1","0","",".262",".347",".511",".859",".359","127","","2.3","","96.2","","3.27","0.29","1.04","4949"
"Myles Straw","CLE","143","567","503","133","24","3","4","74","42","58","110","3","31","6","",".264",".341",".345",".687",".306","93","","2.3","","129.2","","3.11","-0.21","2.34","17620"
"Jacob Stallings","MIA","113","422","374","91","18","1","9","41","43","40","92","4","0","0","",".243",".320",".365",".685",".302","91","","2.2","","381.1","","2.49","0.75","0.53","13723"
"Eloy Jiménez","CHW","141","585","541","147","28","1","31","75","93","37","142","4","1","0","",".272",".321",".503",".824",".349","120","","2.2","","62.2","","3.09","-0.24","0.97","17484"
"José Abreu","CHW","148","641","571","152","30","2","31","85","102","49","140","14","1","1","",".267",".337",".488",".825",".349","120","","2.2","","75.2","","2.81","-0.04","1.08","15676"
"Teoscar Hernández","TOR","141","596","545","145","28","2","33","87","97","43","162","6","11","4","",".267",".325",".508",".833",".352","121","","2.2","","30.5","","2.26","0.99","0.51","13066"
"Ian Happ","CHC","140","554","480","116","22","2","26","69","71","66","158","5","9","3","",".241",".337",".457",".794",".341","115","","2.2","","200.1","","3.99","0.03","0.60","17919"
"Abraham Toro","SEA","121","484","431","107","22","2","15","58","56","41","83","10","7","3","",".248",".325",".413",".737",".320","107","","2.2","","262.2","","2.42","-0.10","0.36","19844"
"Mike Yastrzemski","SFG","131","535","473","115","26","4","23","76","68","52","134","7","4","2","",".243",".325",".461",".786",".336","111","","2.2","","284.1","","2.87","0.38","0.48","14854"
"Randy Arozarena","TBR","141","598","525","137","28","3","22","86","71","53","159","15","19","8","",".261",".343",".453",".796",".343","116","","2.1","","60.6","","2.90","0.40","0.81","19290"
"Avisaíl García","MIA","137","562","510","135","22","1","23","70","75","39","132","10","8","3","",".264",".327",".446",".773",".330","110","","2.1","","174.1","","3.57","0.40","0.20","5760"
"Adam Frazier","SEA","141","590","535","143","28","3","8","72","49","42","74","8","7","4","",".266",".329",".375",".703",".308","99","","2.1","","350.6","","2.70","0.05","0.91","15223"
"Anthony Rizzo","","138","585","503","129","23","2","24","76","74","59","90","17","5","2","",".256",".352",".451",".802",".344","116","","2.1","","183.9","","1.45","0.95","0.26","3473"
"Josh Jung","TEX","97","396","360","95","20","1","14","47","50","29","91","5","2","1","",".266",".327",".443",".770",".330","110","","2.1","","283.1","","2.90","0.15","0.72","sa3011468"
"J.D. Martinez","BOS","144","625","558","153","34","2","30","85","94","58","146","4","1","1","",".274",".343",".501",".844",".356","122","","2.1","","89.1","","2.49","-1.24","0.94","6184"
"Daulton Varsho","ARI","112","424","382","97","20","3","16","57","54","37","91","4","10","2","",".253",".324",".450",".774",".332","105","","2.0","","94.5","","4.46","1.02","0.61","19918"
"Michael Brantley","HOU","117","505","460","134","27","2","12","65","55","39","59","4","2","1","",".291",".352",".435",".787",".339","118","","2.0","","248.6","","2.73","0.04","1.16","4106"
"Ryan McMahon","COL","145","586","520","132","28","2","25","76","82","58","155","4","5","2","",".254",".331",".460",".791",".339","98","","2.0","","161.4","","2.54","0.05","0.47","15112"
"Carson Kelly","ARI","105","398","347","84","16","1","15","45","50","42","83","5","0","0","",".241",".329",".419",".749",".325","100","","2.0","","267.2","","1.99","0.97","0.42","13620"
"Danny Jansen","TOR","98","353","309","73","15","1","16","46","46","34","73","5","0","0","",".235",".319",".440",".759",".327","103","","2.0","","359.5","","3.33","-0.16","0.43","16535"
"Mike Zunino","TBR","101","368","330","67","13","1","23","48","55","30","131","6","0","0","",".203",".282",".457",".739",".314","97","","2.0","","240.6","","3.43","-0.73","0.86","13265"
"Joey Votto","CIN","139","590","501","128","24","1","30","81","84","81","132","4","1","1","",".255",".361",".486",".848",".358","119","","2.0","","138.6","","2.86","-1.07","0.81","4314"
"Marcell Ozuna","ATL","119","510","455","121","20","1","25","67","77","51","110","3","2","1","",".265",".341",".480",".822",".350","117","","2.0","","192.8","","5.20","-0.66","0.57","10324"
"Nicky Lopez","KCR","137","540","483","129","22","4","3","64","42","43","77","4","17","4","",".267",".331",".349",".680",".301","88","","2.0","","240.6","","2.27","-0.31","1.54","19339"
"Josh Bell","WSN","144","604","525","140","27","2","29","83","94","69","117","4","0","0","",".267",".352",".491",".843",".358","122","","2.0","","128.4","","2.23","-0.25","0.95","13145"
"Tommy Pham","","127","515","442","112","21","2","16","69","54","65","113","5","14","5","",".254",".354",".419",".774",".338","113","","1.9","","266.9","","3.77","-0.34","0.82","2967"
"Nick Madrigal","CHC","123","482","447","132","21","5","4","55","45","26","35","7","9","4","",".296",".342",".391",".733",".320","101","","1.9","","296.2","","3.81","0.45","1.60","20521"
"Keibert Ruiz","WSN","111","431","395","107","20","1","16","49","57","30","50","5","0","0","",".271",".329",".446",".775",".333","106","","1.9","","141.4","","3.38","-0.39","0.76","19610"
