"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Rob Refsnyder","BOS","42","153","137","34","7","0","3","18","16","13","41","1","1","0","",".249",".316",".384",".700",".303","87","","0.1","","999.0","","3.40","0.65","1.48","13770"
"Michael Stefanic","LAA","8","30","27","7","1","0","1","3","3","2","5","0","0","0","",".262",".322",".372",".694",".303","91","","0.1","","999.0","","4.24","4.03","1.96","sa3008479"
"Edwin Ríos","LAD","41","143","129","29","6","0","7","18","20","11","47","2","0","0","",".222",".294",".435",".729",".312","96","","0.1","","568.1","","6.86","0.77","1.31","18316"
"Patrick Mazeika","NYM","17","57","52","11","2","0","2","6","6","4","11","1","0","0","",".218",".278",".356",".635",".276","72","","0.1","","999.0","","3.67","1.06","1.79","18142"
"Kevin Padlo","SEA","15","43","39","8","2","0","1","5","5","4","16","0","0","0","",".201",".276",".359",".635",".277","78","","0.1","","600.3","","3.60","1.50","1.82","16593"
"Jace Peterson","MIL","61","225","196","46","9","1","5","25","23","25","53","2","6","1","",".234",".325",".372",".697",".304","86","","0.1","","551.7","","3.84","0.36","1.33","12325"
"Tucupita Marcano","PIT","19","64","58","14","3","0","1","7","5","5","10","0","1","1","",".248",".315",".331",".645",".287","78","","0.1","","600.5","","3.51","2.74","1.86","22871"
"Pablo Reyes","MIL","18","56","51","12","3","0","1","6","6","4","11","0","1","0","",".236",".295",".364",".659",".288","77","","0.1","","999.0","","2.83","1.21","1.85","16357"
"Mickey Moniak","PHI","78","246","226","51","11","3","7","26","27","16","74","1","2","1","",".226",".281",".392",".673",".289","78","","0.1","","600.3","","4.82","-1.07","1.04","19956"
"Gilberto Celestino","MIN","16","57","51","13","3","0","1","6","6","4","12","1","1","0","",".247",".312",".378",".690",".301","90","","0.1","","999.0","","3.41","1.62","1.85","20233"
"Payton Henry","MIA","6","23","20","4","1","0","1","2","2","2","7","0","0","0","",".219",".291",".363",".654",".287","81","","0.1","","999.0","","2.89","0.98","1.95","22164"
"Alfonso Rivas","CHC","37","138","123","31","6","0","2","15","13","13","35","2","1","0","",".251",".332",".362",".694",".307","92","","0.1","","999.0","","2.61","1.25","1.58","21560"
"José Devers","MIA","26","71","64","16","3","0","1","8","6","4","14","1","1","0","",".251",".305",".354",".659",".288","82","","0.1","","999.0","","3.45","0.26","1.82","20540"
"Christin Stewart","BOS","25","101","89","21","5","1","4","12","13","9","27","1","0","0","",".233",".308",".436",".744",".317","96","","0.1","","999.0","","4.49","2.75","1.58","17714"
"Ryan Kreidler","DET","5","21","19","5","1","0","1","2","2","2","6","0","0","0","",".236",".295",".387",".682",".295","86","","0.1","","999.0","","4.72","2.25","1.97","sa3010587"
"Jason Vosler","SFG","12","39","35","8","2","0","1","4","4","3","9","0","0","0","",".226",".296",".377",".674",".293","83","","0.1","","999.0","","3.52","2.19","1.87","16686"
"Esteban Quiroz","TBR","7","25","22","5","1","0","1","3","3","3","6","0","0","0","",".224",".318",".386",".704",".309","93","","0.1","","999.0","","2.96","0.98","1.93","sa596560"
"Mark Kolozsvary","CIN","11","42","37","8","2","0","1","5","4","3","15","1","0","0","",".203",".285",".340",".625",".277","66","","0.1","","999.0","","2.50","1.09","1.83","sa3004996"
"Sam Huff","TEX","8","30","28","6","1","0","1","3","4","2","12","0","0","0","",".216",".264",".401",".666",".284","79","","0.1","","579.3","","3.92","1.97","1.89","22209"
"Ali Sánchez","STL","11","35","32","8","1","0","0","3","3","2","6","0","0","0","",".242",".288",".321",".609",".268","66","","0.1","","999.0","","2.44","1.19","1.93","18551"
"Connor Wong","BOS","8","29","27","6","1","0","1","3","3","1","10","0","0","0","",".230",".268",".394",".662",".284","74","","0.1","","999.0","","3.69","2.55","1.92","19896"
"René Pinto","TBR","6","22","20","5","1","0","1","2","2","1","6","0","0","0","",".228",".273",".371",".645",".278","73","","0.1","","999.0","","3.16","1.93","1.95","sa826668"
"Ryan Zimmerman","","47","164","150","36","8","0","7","19","23","12","42","1","0","0","",".242",".300",".431",".730",".313","93","","0.1","","600.7","","3.94","0.30","1.33","4220"
"Brendon Davis","LAA","7","27","25","6","1","0","1","3","3","2","7","0","0","0","",".236",".297",".393",".690",".299","88","","0.1","","999.0","","5.65","1.90","1.93","sa875089"
"Tony Wolters","LAD","13","44","38","8","2","0","0","4","3","4","11","1","0","0","",".211",".293",".291",".584",".260","61","","0.1","","999.0","","2.15","2.66","1.86","11470"
"Eguy Rosario","SDP","7","27","25","6","2","0","0","3","3","2","6","0","0","0","",".246",".300",".365",".665",".288","80","","0.1","","999.0","","6.46","2.41","1.96","sa917140"
"Luke Maile","MIL","20","66","59","12","3","0","1","6","5","6","21","1","0","0","",".204",".282",".297",".579",".260","59","","0.1","","999.0","","1.38","-0.04","1.75","13355"
"Alejo Lopez","CIN","9","29","26","7","2","0","0","4","3","2","4","0","0","0","",".272",".331",".363",".694",".305","85","","0.1","","999.0","","4.37","2.41","1.96","21127"
"Danny Santana","","44","171","157","37","8","1","6","21","20","11","49","2","5","2","",".233",".289",".406",".695",".297","82","","0.0","","999.0","","3.99","1.73","1.44","10322"
"Evan White","SEA","56","220","202","45","8","1","8","24","26","15","67","2","1","1","",".222",".282",".386",".668",".289","86","","0.0","","596.9","","2.36","0.45","1.04","20078"
"Brian Goodwin","","41","153","136","31","7","1","5","18","17","15","42","1","2","1","",".228",".306",".390",".697",".302","89","","0.0","","600.6","","2.50","1.31","1.40","12858"
"Jurickson Profar","SDP","123","457","402","95","20","2","10","54","46","45","69","7","10","3","",".236",".321",".371",".692",".304","91","","0.0","","493.9","","2.32","2.28","0.78","10815"
"Eli White","TEX","34","133","119","26","5","1","3","16","12","11","39","2","2","1","",".219",".292",".354",".646",".284","79","","0.0","","999.0","","4.44","1.15","1.52","19346"
"Juan Lagares","","53","179","166","41","9","1","4","20","18","9","43","1","1","1","",".246",".290",".377",".667",".288","80","","0.0","","999.0","","2.28","0.07","1.41","5384"
"Nick Maton","PHI","20","71","63","14","3","0","1","7","7","7","20","1","1","0","",".218",".300",".335",".634",".282","73","","0.0","","999.0","","3.15","0.51","1.76","21635"
"Colin Moran","","105","406","364","91","17","1","13","44","52","35","98","3","1","0","",".250",".319",".409",".728",".315","97","","0.0","","581.8","","6.98","-0.45","0.53","16909"
"Peyton Burdick","MIA","6","21","19","4","1","0","1","2","2","2","6","0","0","0","",".222",".311",".375",".686",".301","91","","0.0","","999.0","","3.47","2.33","1.96","sa3009876"
"Franchy Cordero","BOS","25","89","80","19","5","0","2","12","10","7","28","1","1","0","",".242",".307",".398",".705",".305","88","","0.0","","999.0","","4.52","1.49","1.69","14567"
"Greg Deichmann","CHC","12","36","32","7","1","0","1","4","3","4","11","0","0","0","",".212",".296",".339",".635",".282","75","","0.0","","999.0","","3.66","1.45","1.89","19872"
"Ronald Torreyes","PHI","52","186","174","42","8","1","3","18","17","9","23","2","1","1","",".244",".287",".343",".630",".275","69","","0.0","","596.9","","1.81","1.48","1.43","11400"
"Tyler Nevin","BAL","21","77","70","16","3","0","2","8","8","6","18","1","0","0","",".233",".301",".379",".681",".297","85","","0.0","","999.0","","4.62","1.89","1.73","17893"
"Daniel Johnson","CLE","17","60","55","12","3","0","2","7","7","4","19","1","1","0","",".225",".288",".395",".683",".296","86","","0.0","","999.0","","3.34","0.43","1.80","19643"
"Delino DeShields","","24","72","62","14","3","0","1","8","5","8","19","0","3","1","",".226",".321",".329",".650",".290","74","","0.0","","999.0","","3.99","3.12","1.85","11379"
"Brendan Donovan","STL","5","22","20","5","1","0","0","3","2","2","4","0","0","0","",".245",".306",".351",".658",".288","80","","0.0","","600.4","","5.28","2.67","1.96","sa3006675"
"Austin Wynns","","7","22","20","5","1","0","0","2","2","2","5","0","0","0","",".223",".284",".329",".613",".271","67","","0.0","","999.0","","2.25","2.63","1.95","15271"
"Kody Clemens","DET","6","20","19","4","1","0","1","2","2","1","5","0","0","0","",".233",".286",".378",".664",".287","80","","0.0","","999.0","","4.04","2.35","1.96","sa3008002"
"Khalil Lee","NYM","25","82","71","15","3","0","2","10","7","9","31","2","2","1","",".214",".320",".341",".661",".297","85","","0.0","","596.7","","4.05","0.23","1.72","19952"
"Nelson Velazquez","CHC","11","43","40","9","2","0","2","5","5","2","13","0","1","0","",".238",".285",".416",".701",".298","86","","0.0","","596.6","","5.11","3.50","1.88","sa3005129"
"Jake Lamb","","56","205","179","38","8","1","7","24","24","23","57","3","1","0","",".215",".310",".387",".697",".299","85","","0.0","","999.0","","1.91","-0.04","1.04","13329"
"Stuart Fairchild","ARI","9","24","22","5","1","0","1","3","2","2","6","1","0","0","",".241",".312",".382",".694",".304","87","","0.0","","999.0","","3.17","2.01","1.96","20321"
"Sebastian Rivero","KCR","9","30","28","6","2","0","0","3","3","2","8","0","0","0","",".217",".269",".325",".594",".260","61","","0.0","","999.0","","3.05","0.19","1.91","21735"
"Alex De Goti","HOU","6","21","19","4","1","0","0","2","2","2","5","0","0","0","",".211",".277",".334",".610",".269","70","","0.0","","999.0","","3.54","1.40","1.95","19477"
"Roman Quinn","","37","122","110","24","5","1","2","15","9","9","37","2","7","2","",".222",".294",".342",".636",".281","72","","0.0","","999.0","","1.78","-0.25","1.81","13546"
"Jose Rojas","LAA","24","93","85","20","4","0","3","11","10","7","23","0","1","0","",".234",".293",".401",".694",".300","88","","0.0","","600.4","","6.14","1.19","1.66","19331"
"Lucius Fox","WSN","14","56","50","11","3","0","1","6","4","5","15","1","2","1","",".222",".307",".320",".627",".280","72","","0.0","","999.0","","3.27","1.68","1.88","sa914200"
"Ryan O'Hearn","KCR","30","110","99","23","5","0","5","12","14","10","29","0","0","0","",".228",".296",".421",".717",".307","92","","0.0","","599.7","","5.27","0.56","1.54","16442"
"Jeter Downs","BOS","7","27","24","6","2","0","1","3","3","2","7","0","0","0","",".232",".292",".363",".655",".285","74","","0.0","","599.1","","4.77","1.93","1.94","sa3004615"
"Lewis Brinson","MIA","57","212","197","45","9","1","6","22","23","12","56","3","2","1","",".228",".279",".381",".660",".285","80","","0.0","","600.0","","2.51","0.27","1.19","14352"
"Jonathan Aranda","TBR","10","37","34","8","2","0","1","4","4","3","8","0","0","0","",".250",".316",".383",".699",".305","91","","0.0","","999.0","","3.25","1.84","1.91","sa919293"
"Omar Estévez","LAD","6","26","23","5","1","0","1","3","3","2","7","0","0","0","",".227",".286",".364",".650",".282","76","","0.0","","999.0","","2.85","0.53","1.93","sa914242"
"Mario Feliciano","MIL","6","23","21","5","0","0","0","2","2","2","6","0","0","0","",".257",".312",".279",".591",".268","64","","0.0","","999.0","","4.40","2.13","1.98","20263"
"Ender Inciarte","NYY","12","38","34","8","1","0","1","4","3","3","8","0","1","0","",".225",".291",".336",".626",".275","71","","0.0","","599.9","","3.37","0.42","1.90","4922"
"Raimel Tapia","COL","122","505","463","130","26","4","6","66","44","34","80","2","17","5","",".280",".330",".391",".721",".313","82","","0.0","","264.4","","3.62","0.46","1.58","14350"
"Heliot Ramos","SFG","35","142","130","31","6","1","4","16","14","9","41","1","3","1","",".239",".295",".380",".675",".292","82","","0.0","","999.0","","4.05","0.49","1.57","sa3004693"
"Drew Waters","ATL","21","81","74","18","4","0","2","10","7","6","26","1","3","1","",".237",".301",".374",".676",".295","80","","0.0","","600.1","","3.75","1.24","1.81","sa3004378"
"Micker Adolfo","CHW","14","57","52","12","2","0","2","7","7","4","20","1","0","0","",".224",".288",".406",".694",".299","87","","0.0","","999.0","","3.70","1.80","1.77","sa830303"
"Aramis Garcia","CIN","17","57","53","11","2","0","1","6","6","3","17","1","0","0","",".216",".272",".329",".601",".264","58","","0.0","","999.0","","3.76","1.64","1.78","16925"
"Ehire Adrianza","","60","181","161","39","8","1","3","21","17","16","37","2","1","0","",".244",".317",".366",".683",".300","83","","0.0","","999.0","","1.77","0.19","1.37","8418"
"John Nogowski","ATL","44","158","140","34","6","0","3","17","16","15","26","2","1","0","",".243",".324",".359",".683",".302","88","","0.0","","600.8","","1.81","3.32","1.46","16852"
"Travis Demeritte","ATL","11","41","37","8","2","0","2","5","5","4","14","0","0","0","",".223",".299",".410",".709",".306","88","","0.0","","999.0","","4.84","2.63","1.85","15958"
"Gregory Polanco","","7","26","23","5","1","0","1","3","3","2","7","0","1","0","",".226",".296",".419",".715",".303","87","","0.0","","599.6","","7.67","0.12","1.94","12907"
"Jaylin Davis","SFG","17","58","53","12","2","0","2","7","6","4","17","1","0","0","",".223",".291",".391",".683",".296","85","","0.0","","999.0","","4.15","2.16","1.78","19552"
"Eric Sogard","","44","146","133","32","6","1","2","14","13","10","24","1","2","1","",".240",".297",".334",".631",".276","72","","0.0","","999.0","","1.60","0.56","1.59","7927"
"Jonathan Davis","MIL","9","26","23","5","1","0","1","3","2","2","7","1","1","0","",".211",".296",".324",".619",".276","69","","0.0","","999.0","","3.50","1.09","1.95","15104"
"José Rondón","","18","52","48","11","2","0","2","6","6","4","12","0","1","0","",".230",".284",".392",".675",".290","81","","0.0","","999.0","","3.00","0.17","1.83","14140"
"Max Schrock","CIN","52","182","168","43","8","1","4","21","19","12","34","1","2","1","",".254",".306",".387",".692",".300","81","","0.0","","598.0","","4.12","1.25","1.44","17750"
"Jose Lobaton","","9","30","27","5","1","0","1","3","3","3","10","0","0","0","",".199",".275",".332",".607",".261","61","","0.0","","999.0","","1.47","1.06","1.89","4243"
"Chad Wallach","LAA","12","41","37","7","1","0","1","4","4","4","14","0","0","0","",".191",".267",".317",".584",".258","60","","0.0","","999.0","","2.63","1.42","1.83","17161"
"Nomar Mazara","","74","289","262","62","12","1","9","32","34","22","71","3","1","1","",".238",".302",".392",".694",".300","87","","0.0","","600.0","","1.26","-1.06","0.85","14553"
"Will Benson","CLE","6","21","18","4","1","0","1","2","2","2","7","0","1","0","",".199",".292",".365",".657",".287","80","","0.0","","999.0","","3.97","2.57","1.94","sa917927"
"Buddy Reed","OAK","8","28","26","5","1","0","1","3","2","2","10","0","1","0","",".203",".266",".313",".579",".257","63","","0.0","","999.0","","3.80","1.06","1.93","sa738683"
"DJ Peters","","18","66","61","13","3","0","3","10","11","4","23","1","0","0","",".211",".268",".427",".695",".295","87","","0.0","","599.6","","3.23","2.04","1.63","19348"
"Nick Martini","","9","24","21","5","1","0","0","3","2","2","5","0","0","0","",".241",".324",".347",".672",".297","86","","0.0","","999.0","","3.45","2.13","1.96","12005"
"Shogo Akiyama","CIN","54","190","170","42","8","1","3","21","16","17","39","2","3","2","",".248",".324",".353",".678",".300","81","","0.0","","600.8","","2.85","1.87","1.48","27461"
"Andrew Knapp","CIN","52","172","150","31","6","1","4","18","16","18","54","2","0","0","",".209",".300",".334",".634",".281","68","","0.0","","600.9","","2.20","-0.21","1.26","14942"
"Rodolfo Castro","PIT","18","66","61","14","3","0","2","8","8","4","17","1","1","0","",".230",".280",".390",".671",".289","79","","0.0","","999.0","","3.74","2.34","1.76","21987"
"Aaron Altherr","","26","104","92","20","4","0","3","12","11","10","29","2","2","1","",".220",".304",".380",".684",".299","87","","0.0","","999.0","","1.08","1.01","1.60","11270"
"JJ Bleday","MIA","7","25","22","5","1","0","1","3","2","2","6","0","0","0","",".215",".293",".358",".651",".285","81","","0.0","","599.1","","3.55","2.28","1.93","sa3011642"
"Josh Palacios","TOR","15","59","51","12","2","0","1","7","5","5","15","1","1","0","",".233",".307",".353",".660",".290","78","","0.0","","999.0","","3.23","1.36","1.83","19818"
"Pat Valaika","","45","146","136","30","6","0","4","14","15","8","39","1","1","0","",".221",".266",".364",".630",".272","68","","0.0","","999.0","","2.73","0.93","1.42","14885"
"Willians Astudillo","","12","38","37","9","2","0","1","4","4","1","2","1","0","0","",".252",".281",".387",".668",".286","80","","0.0","","600.9","","3.96","0.93","1.91","15608"
"Rusney Castillo","","7","27","25","7","1","0","0","3","3","1","5","0","0","0","",".256",".301",".351",".653",".286","75","","0.0","","999.0","","1.50","-0.19","1.97","17016"
"Travis Blankenhorn","NYM","10","22","20","4","1","0","1","2","3","1","7","0","0","0","",".199",".265",".318",".583",".258","60","","0.0","","999.0","","3.57","1.28","1.92","18395"
"Isan Díaz","MIA","35","129","114","25","5","0","3","14","13","13","35","1","1","0","",".218",".303",".351",".653",".288","82","","0.0","","600.7","","2.63","0.73","1.49","17922"
"Luis Barrera","OAK","59","178","164","38","8","2","2","19","14","12","39","1","3","1","",".234",".289",".333",".623",".274","75","","0.0","","999.0","","4.74","1.34","1.46","19615"
"Monte Harrison","MIA","57","168","151","31","5","1","5","18","16","12","67","2","6","2","",".205",".272",".351",".623",".273","73","","0.0","","999.0","","4.67","2.05","1.49","17216"
"Corey Ray","MIL","7","23","21","4","1","0","1","3","2","2","8","0","0","0","",".206",".270",".343",".613",".268","64","","0.0","","999.0","","2.59","0.39","1.93","19170"
"Nick Plummer","NYM","6","21","18","4","1","0","0","2","2","2","7","0","0","0","",".200",".302",".328",".630",".282","76","","0.0","","999.0","","4.54","1.19","1.95","sa874684"
"Sandy León","CLE","55","189","171","33","6","0","4","16","17","13","52","2","0","0","",".193",".258",".300",".557",".246","52","","0.0","","999.0","","2.36","-0.08","1.16","5273"
"Jake Cave","MIN","33","111","101","24","5","0","3","13","11","7","36","2","0","0","",".233",".298",".367",".665",".291","83","","0.0","","999.0","","4.60","0.21","1.58","14477"
"Justin Smoak","","23","94","81","17","3","0","4","11","11","11","24","1","0","0","",".215",".318",".401",".719",".313","93","","0.0","","999.0","","1.59","0.18","1.58","9054"
"Maikel Franco","WSN","34","132","122","29","6","0","5","13","16","8","22","1","0","0","",".234",".282",".401",".684",".291","79","","0.0","","599.6","","2.95","1.56","1.49","12179"
"Steven Souza Jr.","","30","102","90","19","4","0","3","12","11","10","35","1","1","1","",".211",".297",".376",".674",".293","83","","0.0","","999.0","","2.29","-0.76","1.55","5667"
"Blake Rutherford","CHW","6","25","23","5","1","0","0","2","2","2","6","0","0","0","",".233",".281",".339",".620",".270","68","","0.0","","999.0","","3.91","1.37","1.96","sa917932"
"Austin Dean","SFG","10","31","28","7","2","0","0","4","3","3","8","0","0","0","",".243",".303",".359",".662",".288","80","","0.0","","999.0","","5.08","2.35","1.92","18288"
"Jake Noll","WSN","8","26","24","7","1","0","1","3","3","1","5","0","0","0","",".270",".308",".374",".681",".297","82","","0.0","","999.0","","5.38","2.53","1.97","19703"
"Mason Martin","PIT","45","177","160","35","8","0","8","20","23","13","60","2","1","0","",".220",".288",".417",".705",".302","88","","-0.1","","591.7","","3.65","0.92","1.18","sa3004885"
"Símon Muzziotti","PHI","6","22","20","5","1","0","0","3","2","1","4","0","0","0","",".240",".288",".340",".628",".274","68","","-0.1","","999.0","","3.34","1.58","1.97","sa917376"
"Richie Martin","BAL","25","90","81","18","3","1","2","8","7","6","22","1","2","0","",".217",".278",".328",".607",".267","65","","-0.1","","999.0","","3.07","-0.57","1.73","17736"
"Seby Zavala","CHW","32","114","103","19","4","0","4","12","12","8","49","1","0","0","",".182",".249",".337",".585",".256","58","","-0.1","","598.5","","3.16","0.81","1.41","18887"
"Darick Hall","PHI","10","39","35","8","2","0","1","4","5","3","11","1","0","0","",".217",".295",".383",".678",".294","81","","-0.1","","999.0","","3.87","2.78","1.85","sa918293"
"Asdrúbal Cabrera","CIN","59","228","203","48","11","1","7","26","27","21","51","2","1","0","",".235",".309",".392",".700",".302","83","","-0.1","","599.9","","2.17","1.44","1.07","4962"
"Stephen Piscotty","OAK","114","437","398","91","18","1","13","43","48","31","109","5","4","1","",".229",".291",".379",".670",".290","86","","-0.1","","599.3","","4.66","-0.99","0.51","13367"
"Anthony Alford","PIT","102","376","338","76","15","2","12","45","39","32","130","5","13","5","",".226",".303",".387",".689",".300","87","","-0.1","","522.1","","4.49","2.17","1.14","14329"
"Travis Jankowski","","43","130","115","28","5","1","1","15","9","13","29","1","4","1","",".245",".324",".315",".639",".287","76","","-0.1","","999.0","","2.06","0.26","1.76","13768"
"Yusniel Diaz","BAL","8","31","29","6","1","0","1","3","3","2","10","0","0","0","",".208",".269",".332",".601",".264","63","","-0.1","","999.0","","2.72","0.25","1.90","sa912848"
"Magneuris Sierra","","20","61","57","13","3","0","0","6","5","3","13","0","3","0","",".234",".277",".298",".575",".252","59","","-0.1","","999.0","","4.48","0.74","1.91","17023"
"Trent Giambrone","CHC","7","27","25","5","1","0","0","3","2","2","8","0","0","0","",".195",".257",".265",".522",".235","44","","-0.1","","999.0","","4.44","0.50","1.92","19250"
"Khris Davis","","58","217","194","43","7","1","9","24","28","19","59","2","0","0","",".224",".297",".406",".703",".302","94","","-0.1","","999.0","","2.69","-0.59","1.02","9112"
"Jordy Mercer","","36","126","116","28","6","0","3","13","13","8","27","1","0","0","",".238",".294",".363",".657",".280","71","","-0.1","","999.0","","1.76","0.31","1.57","6547"
"Matt Joyce","PHI","39","116","99","22","5","0","3","14","12","15","28","1","0","0","",".227",".331",".371",".702",".309","91","","-0.1","","999.0","","1.91","-0.53","1.53","3353"
"Drew Butera","","15","51","45","8","2","0","1","4","4","3","17","1","0","0","",".179",".242",".284",".526",".232","43","","-0.1","","999.0","","1.19","0.21","1.80","3411"
"Harold Castro","DET","54","201","189","49","8","1","2","19","18","8","42","1","1","1","",".262",".294",".348",".642",".279","75","","-0.1","","601.0","","3.08","0.04","1.51","14691"
"Billy Hamilton","","37","117","105","22","4","1","1","14","7","8","32","0","7","2","",".210",".267",".286",".553",".246","52","","-0.1","","999.0","","2.18","0.73","1.82","10199"
"Chris Owings","","17","56","52","11","2","0","1","6","6","4","17","0","2","0","",".217",".281",".362",".642",".274","56","","-0.1","","600.7","","2.41","1.84","1.83","10030"
"Cody Thomas","OAK","49","192","175","36","8","1","6","20","20","14","65","2","1","0","",".205",".272",".373",".644",".279","79","","-0.1","","999.0","","4.02","0.64","1.14","sa738459"
"Donovan Casey","WSN","11","42","39","9","2","0","1","4","4","2","14","0","1","0","",".221",".266",".359",".625",".270","65","","-0.1","","999.0","","4.23","2.15","1.88","sa915654"
"Trey Amburgey","CIN","28","74","69","15","4","0","2","8","9","4","26","1","0","0","",".223",".275",".368",".642",".278","67","","-0.1","","999.0","","4.20","3.17","1.70","18425"
"Scott Kingery","PHI","48","155","142","31","7","1","5","16","15","11","51","2","2","1","",".217",".278",".374",".651",".282","73","","-0.1","","600.3","","2.83","0.46","1.41","17975"
"Jared Oliva","PIT","27","94","86","20","4","1","1","9","8","6","26","1","3","1","",".231",".288",".341",".628",".275","71","","-0.1","","999.0","","2.42","1.53","1.80","19968"
"Yadiel Hernandez","WSN","112","403","363","93","15","1","14","47","49","33","94","2","4","1","",".257",".317",".415",".732",".314","94","","-0.1","","579.3","","3.01","0.26","0.62","19334"
"Jorge Alfaro","SDP","94","354","328","79","14","1","10","34","40","18","113","7","6","2","",".240",".293",".375",".669",".291","81","","-0.2","","386.6","","1.69","-0.47","0.91","12180"
"Andrew Young","WSN","37","92","84","17","3","0","2","11","11","5","35","3","0","0","",".203",".268",".329",".597",".263","61","","-0.2","","999.0","","4.86","-0.08","1.53","19521"
"Luke Williams","PHI","61","196","179","41","8","1","3","22","17","15","46","2","5","2","",".229",".293",".336",".629",".277","70","","-0.2","","999.0","","2.87","0.42","1.44","19931"
"Matt Carpenter","","60","198","167","34","8","1","6","22","20","26","58","3","1","0","",".205",".323",".365",".688",".303","89","","-0.2","","999.0","","3.03","-0.88","1.11","8090"
"Andrew Stevenson","WSN","81","265","242","61","11","2","5","31","27","18","72","3","3","1","",".251",".310",".376",".686",".300","84","","-0.2","","597.8","","4.12","1.56","1.16","17932"
"Wilmer Difo","","42","134","120","29","4","1","2","14","11","11","29","1","1","0","",".238",".298",".341",".639",".273","69","","-0.2","","999.0","","2.44","-0.13","1.57","14320"
"Michael Chavis","PIT","114","436","403","97","18","2","15","52","52","24","131","7","4","2","",".240",".291",".410",".701",".301","88","","-0.2","","534.8","","3.57","0.30","0.32","17321"
"Jarrod Dyson","","68","194","175","38","6","1","2","22","13","15","41","1","12","3","",".216",".281",".296",".578",".257","56","","-0.2","","999.0","","1.51","-0.20","1.81","4866"
"Jake Bauers","CIN","24","78","69","15","3","0","1","8","7","8","20","1","2","1","",".218",".306",".310",".616",".278","67","","-0.2","","600.8","","6.68","0.54","1.75","15194"
"David Dahl","MIL","38","148","136","33","7","1","4","17","16","9","37","1","1","0","",".245",".293",".396",".689",".296","82","","-0.2","","596.2","","3.39","0.25","1.49","13744"
"Guillermo Heredia","ATL","61","215","191","44","10","0","4","25","19","18","50","5","1","1","",".229",".310",".352",".662",".292","78","","-0.2","","999.0","","3.05","0.75","1.15","18721"
"Josh Reddick","","40","150","138","33","6","0","4","15","15","11","29","0","1","0","",".239",".293",".365",".657",".285","74","","-0.3","","999.0","","2.28","0.48","1.48","3892"
"Dexter Fowler","","81","302","263","57","11","1","8","35","30","34","80","4","7","1","",".218",".314",".361",".675",".293","84","","-0.3","","999.0","","2.84","-1.69","1.00","4062"
"Ryan Vilade","COL","46","161","148","39","8","1","3","18","15","10","30","1","2","1","",".261",".313",".381",".694",".302","74","","-0.3","","600.5","","3.17","2.83","1.60","22165"
"Adam Haseley","PHI","94","342","311","75","14","1","6","37","31","21","72","4","5","2","",".240",".296",".351",".647",".283","74","","-0.3","","999.0","","7.08","-1.18","0.94","19878"
"Ian Desmond","COL","29","112","102","23","4","1","3","13","12","8","29","1","2","1","",".229",".291",".385",".676",".293","69","","-0.3","","999.0","","4.77","1.90","1.58","6885"
"Miguel Cabrera","DET","111","462","416","105","16","0","14","47","58","37","103","4","0","0","",".252",".315",".392",".707",".304","91","","-0.4","","491.8","","2.50","0.26","0.48","1744"
"Albert Pujols","","47","168","157","37","6","0","7","16","23","8","27","2","1","0","",".235",".277",".409",".687",".290","81","","-0.4","","596.9","","1.83","1.52","1.34","1177"
