"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Juan Lagares","","42","182","170","43","9","1","3","20","19","9","44","1","1","1","",".251",".292",".379",".671",".289","","0.3","-0.2","","0.1","","999.0","5384"
"Patrick Mazeika","NYM","8","32","29","6","1","0","1","3","3","2","6","0","0","0","",".224",".285",".360",".645",".281","","-0.3","0.0","","0.1","","999.0","18142"
"Ali Sánchez","STL","8","32","30","7","1","0","0","3","3","2","6","0","0","0","",".240",".283",".328",".611",".268","","0.2","-0.1","","0.1","","999.0","18551"
"Joe Panik","","47","203","183","45","8","1","3","20","17","16","26","2","2","1","",".245",".311",".341",".652",".287","","-1.4","-0.3","","0.1","","999.0","11936"
"Jake McCarthy","ARI","79","343","310","70","13","5","8","38","34","27","92","3","18","5","",".226",".293",".381",".674",".293","","-0.9","1.2","","0.1","","600.1","21622"
"Tyler White","","8","35","30","7","2","0","1","5","4","4","7","0","0","0","",".240",".338",".395",".733",".322","","0.1","-0.1","","0.1","","999.0","15564"
"Isan Díaz","MIA","28","119","105","24","5","0","3","13","12","12","31","1","1","1","",".224",".309",".363",".672",".293","","-0.2","-0.2","","0.1","","600.7","17922"
"José Rondón","","10","42","38","9","2","0","2","5","5","3","10","0","1","0","",".234",".288",".408",".697",".299","","-0.1","0.0","","0.1","","999.0","14140"
"Ernie Clement","CLE","11","49","45","11","2","0","1","5","4","3","7","0","1","0","",".249",".294",".345",".638",".279","","0.2","-0.1","","0.1","","999.0","20352"
"Jake Lamb","","52","224","194","41","8","1","7","26","26","24","61","3","1","1","",".209",".303",".372",".675",".297","","-1.4","-0.3","","0.1","","999.0","13329"
"Alfonso Rivas","CHC","37","161","143","36","7","0","3","19","15","15","39","2","1","1","",".252",".329",".366",".694",".306","","0.6","-0.3","","0.1","","999.0","21560"
"Yolbert Sanchez","CHW","5","21","20","5","1","0","0","2","2","1","3","0","0","0","",".273",".306",".379",".685",".297","","0.0","0.0","","0.1","","999.0","sa3011471"
"Payton Henry","MIA","6","26","23","5","1","0","1","2","2","2","8","1","0","0","",".217",".280",".340",".619",".271","","0.1","0.0","","0.0","","999.0","22164"
"Sam Huff","TEX","6","26","24","5","1","0","1","3","3","1","9","0","0","0","",".221",".271",".392",".663",".285","","0.1","0.0","","0.0","","579.3","22209"
"Chad Wallach","LAA","11","45","40","8","1","0","1","4","5","4","14","1","0","0","",".197",".278",".343",".621",".273","","-0.4","-0.1","","0.0","","999.0","17161"
"Greg Cullen","BAL","6","28","25","6","1","0","1","3","2","3","6","1","0","0","",".229",".315",".347",".662",".294","","0.0","-0.1","","0.0","","999.0","sa3007069"
"Buddy Kennedy","ARI","3","14","13","3","0","0","1","2","2","1","3","0","0","0","",".254",".321",".430",".751",".323","","-0.1","0.0","","0.0","","999.0","sa3004617"
"Steven Souza Jr.","","39","168","148","31","6","1","6","18","20","16","53","2","2","1","",".211",".294",".392",".686",".297","","-0.3","0.0","","0.0","","999.0","5667"
"Diego Castillo","PIT","6","28","26","6","1","0","1","3","3","2","4","0","0","0","",".248",".305",".378",".683",".298","","-0.1","0.0","","0.0","","600.3","sa872839"
"Brendan Donovan","STL","3","14","13","3","1","0","0","2","1","1","3","0","0","0","",".254",".319",".375",".694",".304","","0.0","0.0","","0.0","","600.4","sa3006675"
"Ryan McKenna","BAL","19","84","74","16","3","1","2","9","8","8","25","1","2","1","",".222",".305",".373",".678",".297","","0.0","-0.1","","0.0","","999.0","19928"
"Alex De Goti","HOU","8","35","32","7","1","0","1","4","3","3","9","0","0","0","",".219",".283",".329",".612",".270","","0.2","0.0","","0.0","","999.0","19477"
"Mark Kolozsvary","CIN","13","51","45","9","2","0","1","5","5","4","17","1","0","0","",".189",".274",".328",".602",".267","","0.4","-0.1","","0.0","","999.0","sa3004996"
"Mark Vientos","NYM","3","14","13","3","1","0","1","2","2","1","4","0","0","0","",".232",".285",".431",".716",".304","","0.0","0.0","","0.0","","999.0","sa3004720"
"Khalil Lee","NYM","8","35","30","6","1","0","1","4","3","4","12","1","1","1","",".215",".315",".356",".671",".299","","-0.1","-0.1","","0.0","","596.7","19952"
"Rafael Marchan","PHI","16","64","58","13","2","0","1","7","5","4","12","1","0","0","",".229",".288",".330",".618",".273","","0.3","-0.1","","0.0","","999.0","21646"
"Edwin Ríos","LAD","18","77","69","15","3","0","4","9","11","6","27","1","0","0","",".219",".284",".435",".720",".307","","-0.3","-0.1","","0.0","","568.1","18316"
"Ender Inciarte","NYY","8","35","31","7","1","0","1","4","3","3","7","0","1","0","",".231",".300",".328",".628",".278","","0.1","0.0","","0.0","","599.9","4922"
"Mickey Moniak","PHI","81","350","318","71","13","5","11","39","41","23","94","2","5","2","",".224",".279",".397",".676",".287","","-1.2","0.1","","0.0","","600.3","19956"
"Gilberto Celestino","MIN","15","63","57","14","3","0","1","7","6","5","14","1","1","0","",".240",".301",".371",".672",".293","","-0.3","-0.1","","0.0","","999.0","20233"
"Jedd Gyorko","","8","35","31","7","1","0","1","4","4","3","9","0","0","0","",".231",".311",".401",".712",".309","","0.2","-0.1","","0.0","","999.0","10816"
"Eli White","TEX","41","175","157","34","6","1","4","19","15","14","51","3","4","2","",".216",".289",".346",".636",".280","","0.6","-0.2","","0.0","","999.0","19346"
"Monte Harrison","MIA","42","182","165","34","6","1","6","20","18","13","69","2","9","2","",".209",".275",".354",".629",".275","","0.3","0.7","","0.0","","999.0","17216"
"Jake Cave","MIN","11","49","44","11","2","0","1","6","5","3","15","1","0","0","",".237",".300",".390",".690",".299","","-0.2","-0.1","","0.0","","999.0","14477"
"Micker Adolfo","CHW","11","49","45","10","2","0","2","6","6","3","17","1","0","0","",".220",".281",".422",".703",".300","","-0.2","0.0","","0.0","","999.0","sa830303"
"Nick Maton","PHI","11","49","44","10","2","0","1","5","5","4","13","1","1","0","",".220",".295",".347",".642",".283","","0.1","-0.1","","0.0","","999.0","21635"
"Ryan O'Hearn","KCR","10","42","38","9","2","0","2","5","5","4","11","0","0","0","",".231",".302",".422",".724",".310","","0.0","0.0","","0.0","","599.7","16442"
"Carlos Pérez","COL","5","19","18","4","1","0","1","2","2","1","3","0","0","0","",".224",".275",".393",".668",".287","","0.2","0.0","","0.0","","999.0","10642"
"Maikel Franco","WSN","31","133","123","29","7","0","5","13","17","8","21","1","0","0","",".240",".289",".406",".695",".296","","-0.6","-0.2","","0.0","","599.6","12179"
"Nelson Velazquez","CHC","16","70","65","16","3","0","3","8","9","3","21","1","1","0","",".239",".283",".420",".703",".299","","0.0","0.1","","0.0","","596.6","sa3005129"
"Daniel Johnson","CLE","13","56","51","11","2","0","2","6","6","4","17","1","1","0","",".226",".285",".395",".680",".293","","0.1","0.0","","0.0","","999.0","19643"
"Phil Gosselin","","58","252","228","56","10","1","5","26","26","19","57","2","2","1","",".244",".305",".361",".666",".292","","-0.8","-0.4","","0.0","","589.1","10953"
"Hunter Feduccia","LAD","3","13","12","3","0","0","0","1","1","1","3","0","0","0","",".229",".294",".363",".657",".287","","-0.1","0.0","","0.0","","999.0","sa3007872"
"Zack Collins","CHW","19","77","65","13","3","0","3","9","9","10","25","1","0","0","",".205",".318",".373",".691",".304","","-1.0","-0.1","","0.0","","594.3","19181"
"Yoenis Céspedes","","52","224","202","47","9","1","9","26","28","16","68","3","3","1","",".231",".294",".420",".714",".307","","-0.2","-0.4","","0.0","","999.0","13110"
"Spencer Steer","MIN","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".234",".298",".403",".701",".303","","0.0","0.0","","0.0","","999.0","sa3010586"
"Mario Feliciano","MIL","3","13","12","3","0","0","0","1","1","1","4","0","0","0","",".225",".272",".378",".649",".280","","0.0","0.0","","0.0","","600.8","20263"
"Rodolfo Castro","PIT","13","56","52","12","2","0","2","6","7","3","14","1","1","0","",".230",".277",".415",".692",".295","","0.2","-0.1","","0.0","","999.0","21987"
"Lucius Fox","WSN","15","63","56","12","3","0","1","7","5","6","16","1","3","1","",".219",".299",".333",".632",".281","","-0.2","0.2","","0.0","","999.0","sa914200"
"Jordy Mercer","","42","182","168","40","9","0","4","17","16","11","41","2","1","0","",".240",".293",".363",".656",".286","","-1.4","-0.2","","0.0","","999.0","6547"
"Miles Mastrobuoni","TBR","2","7","6","2","0","0","0","1","1","1","2","0","0","0","",".242",".308",".331",".638",".282","","0.0","0.0","","0.0","","999.0","sa918318"
"Kyle Garlick","MIN","3","14","13","3","1","0","1","2","2","1","4","0","0","0","",".230",".280",".441",".720",".305","","0.0","0.0","","0.0","","999.0","18063"
"Jose Rojas","LAA","6","28","25","6","1","0","1","3","3","2","7","0","0","0","",".234",".293",".409",".702",".301","","-0.1","0.0","","0.0","","600.4","19331"
"Kyle Stowers","BAL","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".237",".308",".432",".740",".318","","0.0","0.0","","0.0","","999.0","sa1115829"
"Khris Davis","","53","231","207","47","7","1","11","27","33","19","63","2","0","0","",".226",".295",".433",".729",".312","","0.0","-0.4","","0.0","","999.0","9112"
"Travis Blankenhorn","NYM","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".232",".287",".393",".680",".293","","0.0","0.0","","0.0","","999.0","18395"
"P.J. Higgins","CHC","2","6","6","1","0","0","0","1","1","1","1","0","0","0","",".227",".294",".332",".626",".277","","0.0","0.0","","0.0","","999.0","18433"
"Austin Dean","SFG","3","14","13","3","1","0","0","2","2","1","4","0","0","0","",".247",".312",".411",".723",".312","","-0.1","0.0","","0.0","","999.0","18288"
"Andrew Young","WSN","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".217",".294",".417",".712",".307","","-0.1","0.0","","0.0","","999.0","19521"
"Stuart Fairchild","ARI","10","42","38","9","2","0","1","5","4","3","10","1","1","0","",".231",".301",".370",".671",".294","","0.0","0.0","","0.0","","999.0","20321"
"Adrián Sanchez","WSN","2","7","7","2","0","0","0","1","1","0","1","0","0","0","",".259",".301",".376",".676",".292","","0.0","0.0","","0.0","","999.0","11338"
"Chadwick Tromp","ATL","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".220",".272",".372",".644",".278","","0.0","0.0","","0.0","","999.0","16953"
"Pedro Leon","HOU","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".204",".284",".331",".616",".273","","0.0","0.0","","0.0","","999.0","sa3014838"
"Brett Sullivan","MIL","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".231",".284",".358",".642",".280","","0.0","0.0","","0.0","","999.0","sa857232"
"Jake Hager","","5","21","19","4","1","0","1","2","2","1","6","0","0","0","",".223",".277",".363",".640",".277","","0.1","0.0","","0.0","","999.0","12198"
"Mason Martin","PIT","65","280","252","55","13","1","13","33","39","19","92","4","1","1","",".219",".283",".432",".715",".304","","0.8","-0.3","","0.0","","591.7","sa3004885"
"Seby Zavala","CHW","29","115","105","19","4","0","4","12","13","8","46","1","0","0","",".185",".247",".345",".591",".257","","-0.9","-0.1","","0.0","","598.5","18887"
"Sebastian Rivero","KCR","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".221",".273",".333",".606",".264","","0.0","0.0","","0.0","","999.0","21735"
"Tim Lopes","COL","2","7","6","2","0","0","0","1","1","0","2","0","0","0","",".258",".311",".402",".712",".308","","0.0","0.0","","0.0","","999.0","14137"
"Harold Castro","DET","44","189","178","48","7","1","2","18","18","7","41","1","1","1","",".270",".299",".357",".656",".285","","-0.6","-0.3","","0.0","","601.0","14691"
"JJ Bleday","MIA","10","42","37","8","2","0","1","5","4","4","9","0","0","0","",".223",".299",".371",".670",".293","","0.1","0.0","","0.0","","599.1","sa3011642"
"Adam Haseley","PHI","109","469","426","104","19","2","11","51","49","31","101","6","8","3","",".245",".303",".373",".676",".294","","-0.8","0.3","","0.0","","999.0","19878"
"Jonathan Davis","MIL","6","28","24","5","1","0","1","3","2","2","8","1","1","0","",".206",".295",".330",".624",".279","","0.0","0.0","","0.0","","999.0","15104"
"Jeter Downs","BOS","3","14","13","3","1","0","0","2","1","1","4","0","0","0","",".215",".275",".366",".641",".278","","0.0","0.0","","0.0","","599.1","sa3004615"
"Jason Martin","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",".000",".000",".000",".000",".000","","0.0","0.0","","0.0","","999.0","16429"
"Chance Sisco","NYM","19","77","67","14","3","0","2","8","8","7","22","2","0","0","",".214",".309",".356",".665",".295","","-0.8","-0.1","","0.0","","999.0","15694"
"Jake Noll","WSN","2","7","7","2","0","0","0","1","1","0","1","0","0","0","",".258",".298",".406",".704",".303","","0.0","0.0","","0.0","","999.0","19703"
"Luis Liberato","","8","35","32","7","1","0","1","4","3","2","9","0","0","0","",".227",".279",".350",".629",".274","","0.2","0.0","","0.0","","999.0","sa737020"
"Sandy León","CLE","47","186","168","32","5","0","4","16","16","13","52","2","0","0","",".189",".252",".301",".554",".245","","0.6","-0.6","","0.0","","999.0","5273"
"Kyle Holder","COL","3","14","13","3","1","0","0","1","1","1","3","0","0","0","",".241",".295",".349",".643",".282","","0.0","0.0","","0.0","","999.0","sa857840"
"Magneuris Sierra","","5","21","19","5","1","0","0","2","2","1","4","0","1","0","",".238",".285",".319",".604",".263","","0.0","0.0","","0.0","","999.0","17023"
"Anderson Tejeda","STL","2","7","6","1","0","0","0","1","1","0","3","0","0","0","",".184",".236",".315",".550",".240","","0.0","0.0","","0.0","","999.0","19909"
"Richie Martin","BAL","8","35","32","7","1","0","1","3","3","2","9","1","1","0","",".221",".283",".328",".611",".270","","-0.2","-0.1","","0.0","","999.0","17736"
"Josh Ockimey","","13","56","48","10","2","0","2","7","6","7","18","0","0","0","",".211",".313",".394",".707",".309","","0.0","-0.1","","0.0","","999.0","sa829375"
"Rusney Castillo","","13","56","52","13","2","0","1","6","6","3","12","1","1","0","",".254",".298",".387",".685",".295","","0.0","-0.1","","0.0","","999.0","17016"
"Andrew Knapp","CIN","40","160","137","29","6","1","3","15","15","19","50","2","0","0","",".212",".312",".334",".647",".288","","-2.4","-0.1","","0.0","","600.9","14942"
"Will Benson","CLE","8","35","30","6","1","0","1","4","4","4","12","0","1","0","",".192",".285",".373",".658",".286","","-0.1","0.0","","0.0","","999.0","sa917927"
"Trent Giambrone","CHC","3","14","13","3","0","0","0","1","1","1","4","0","0","0","",".201",".267",".331",".598",".262","","0.0","0.0","","0.0","","999.0","19250"
"Aaron Altherr","","52","224","196","43","9","1","7","25","24","22","60","3","4","2","",".220",".304",".378",".682",".299","","-2.4","-0.1","","0.0","","999.0","11270"
"Blake Rutherford","CHW","3","14","13","3","1","0","0","1","1","1","4","0","0","0","",".229",".268",".351",".619",".267","","0.0","0.0","","0.0","","999.0","sa917932"
"Wilmer Difo","","31","133","120","29","4","1","2","14","11","11","29","1","1","1","",".239",".303",".338",".641",".282","","-0.2","-0.1","","0.0","","999.0","14320"
"Cody Thomas","OAK","28","119","108","22","5","1","4","13","13","9","40","1","1","0","",".206",".270",".381",".651",".281","","0.4","-0.1","","0.0","","999.0","sa738459"
"Collin Theroux","","5","19","17","3","0","0","0","2","1","2","9","0","0","0","",".152",".232",".260",".492",".223","","0.1","0.0","","0.0","","999.0","sa876102"
"Buddy Reed","OAK","6","28","25","5","1","0","1","3","2","2","10","0","1","0","",".195",".260",".307",".567",".250","","0.1","0.0","","0.0","","999.0","sa738683"
"Andrew Bechtold","MIN","3","14","13","3","1","0","0","1","1","1","5","0","0","0","",".203",".271",".341",".612",".269","","0.0","0.0","","0.0","","999.0","sa829787"
"Omar Estévez","LAD","8","35","32","7","1","0","1","4","3","3","9","0","0","0","",".211",".272",".330",".602",".264","","0.0","0.0","","0.0","","999.0","sa914242"
"Jose Lobaton","","16","64","57","11","3","0","2","6","6","6","20","0","0","0","",".195",".268",".332",".600",".265","","-0.6","-0.1","","0.0","","999.0","4243"
"Lane Adams","","5","21","19","4","1","0","1","2","2","2","7","0","0","0","",".210",".280",".359",".639",".279","","-0.1","0.0","","0.0","","999.0","10767"
"Fabian Pena","SFG","5","19","18","4","1","0","0","2","2","1","5","0","0","0","",".204",".242",".338",".580",".251","","-0.4","0.0","","0.0","","999.0","sa3007303"
"Corey Ray","MIL","11","49","45","9","2","0","1","5","5","3","17","0","1","0","",".211",".273",".365",".638",".276","","-0.1","0.0","","0.0","","999.0","19170"
"Keston Hiura","MIL","71","308","274","63","13","1","12","36","37","24","102","7","4","2","",".228",".304",".413",".717",".310","","-0.5","-0.1","","0.0","","445.0","20003"
"Heliot Ramos","SFG","53","231","212","50","10","1","6","25","22","15","64","2","5","2","",".235",".291",".373",".663",".289","","-1.8","-0.1","","0.0","","999.0","sa3004693"
"Símon Muzziotti","PHI","5","21","19","5","1","0","0","2","2","1","4","0","0","0","",".235",".284",".332",".615",".270","","0.0","-0.1","","-0.1","","999.0","sa917376"
"Jorge Alfaro","SDP","105","444","411","99","17","1","12","42","50","20","141","9","8","3","",".242",".291",".379",".669",".290","","-2.3","-0.5","","-0.1","","386.6","12180"
"Anthony Alford","PIT","99","427","382","87","18","2","12","49","48","37","146","6","15","8","",".228",".304",".380",".684",".298","","-0.6","-0.4","","-0.1","","522.1","14329"
"Darick Hall","PHI","11","49","43","9","2","0","2","6","6","4","13","1","0","0","",".218",".297",".395",".692",".300","","0.0","0.0","","-0.1","","999.0","sa918293"
"Andrew Stevenson","WSN","66","287","261","66","12","2","6","32","30","19","78","3","4","2","",".253",".310",".381",".691",".300","","-0.8","-0.2","","-0.1","","597.8","17932"
"Kurt Suzuki","","36","141","126","29","6","0","4","13","14","8","25","4","0","0","",".233",".297",".364",".662",".290","","-2.7","-0.4","","-0.1","","600.5","8259"
"Logan Warmoth","TOR","8","35","31","6","1","0","1","4","3","3","12","1","1","0","",".197",".277",".304",".581",".260","","0.1","0.0","","-0.1","","999.0","sa3004813"
"Alcides Escobar","WSN","118","511","471","116","24","1","8","55","47","26","92","7","4","1","",".246",".294",".354",".648",".283","","-4.4","0.3","","-0.1","","582.4","6310"
"Donovan Casey","WSN","10","42","39","9","2","0","1","4","4","2","14","0","1","0","",".222",".272",".362",".635",".275","","-0.1","0.0","","-0.1","","999.0","sa915654"
"Evan White","SEA","55","238","218","47","8","1","9","25","28","16","72","2","2","1","",".214",".272",".377",".648",".280","","1.1","0.0","","-0.1","","596.9","20078"
"Billy Hamilton","","32","140","127","26","5","1","1","16","9","10","40","0","9","2","",".206",".265",".297",".562",".249","","0.9","0.9","","-0.1","","999.0","10199"
"Josh Palacios","TOR","23","98","88","20","4","0","2","10","9","8","26","1","2","1","",".225",".296",".335",".631",".279","","0.0","-0.1","","-0.1","","999.0","19818"
"Yusniel Diaz","BAL","11","49","44","9","2","0","1","5","5","4","14","0","0","0","",".205",".271",".339",".610",".268","","-0.1","-0.1","","-0.1","","999.0","sa912848"
"Matt Carpenter","","63","273","231","47","11","1","7","30","28","35","80","5","2","0","",".203",".318",".352",".671",".298","","-0.5","-0.4","","-0.1","","999.0","8090"
"David Dahl","MIL","29","126","116","28","6","1","4","14","14","7","32","1","1","1","",".242",".290",".400",".690",".297","","-0.1","-0.1","","-0.1","","596.2","13744"
"Matt Joyce","PHI","36","154","131","28","5","0","4","17","16","19","38","1","1","0","",".216",".319",".345",".664",".294","","-1.5","-0.3","","-0.1","","999.0","3353"
"Luke Williams","PHI","53","231","208","47","9","1","4","24","20","17","55","2","7","3","",".226",".291",".341",".632",".277","","1.2","-0.1","","-0.1","","999.0","19931"
"Albert Pujols","","52","224","207","50","7","0","9","23","34","12","36","3","1","0","",".244",".292",".418",".710",".302","","-0.2","-0.5","","-0.1","","596.9","1177"
"Ian Desmond","COL","62","266","242","55","12","2","9","31","31","20","68","2","4","1","",".229",".291",".401",".692",".298","","-3.2","-0.2","","-0.2","","999.0","6885"
"Jared Oliva","PIT","29","126","114","26","5","1","2","13","11","8","32","2","5","2","",".226",".289",".336",".625",".274","","0.2","0.2","","-0.2","","999.0","19968"
"Lewis Brinson","MIA","52","224","207","46","9","1","6","22","24","13","62","3","3","1","",".221",".273",".365",".638",".277","","0.1","0.0","","-0.2","","600.0","14352"
"Josh Reddick","","36","154","141","34","6","0","4","16","15","11","29","0","1","0","",".240",".292",".362",".654",".284","","-0.7","-0.2","","-0.2","","999.0","3892"
"Jarrod Dyson","","50","217","196","42","7","1","2","24","16","17","47","1","13","5","",".213",".278",".302",".580",".258","","0.9","0.7","","-0.2","","999.0","4866"
"Dexter Fowler","","102","441","382","83","15","1","13","50","47","49","116","6","6","3","",".218",".313",".364",".677",".299","","-4.2","-0.4","","-0.2","","999.0","4062"
"Guillermo Heredia","ATL","62","266","234","53","14","0","5","30","23","24","63","6","1","1","",".226",".311",".354",".664",".292","","-0.6","-0.1","","-0.2","","999.0","18721"
"Scott Kingery","PHI","39","168","153","33","8","1","4","18","16","11","52","2","3","1","",".215",".272",".363",".635",".275","","-0.6","0.3","","-0.2","","600.3","17975"
"Miguel Cabrera","DET","122","525","474","119","17","0","16","52","67","41","119","5","0","0","",".252",".314",".391",".704",".306","","-0.3","-2.6","","-0.2","","491.8","1744"
"Drew Butera","","21","83","74","13","3","0","1","7","6","6","26","1","1","0","",".174",".248",".276",".524",".235","","-0.5","-0.1","","-0.3","","999.0","3411"
"Ryan Vilade","COL","58","252","230","60","12","2","4","27","22","16","46","2","5","2","",".263",".311",".383",".695",".301","","0.2","-0.1","","-0.4","","600.5","22165"
