"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Alex Verdugo","BOS","141","609","547","158","35","2","15","81","65","51","97","4","7","2","",".289",".351",".442",".793",".340","","1.9","0.5","","2.5","","161.7","17027"
"Nicky Lopez","KCR","141","609","544","147","25","5","5","70","48","50","82","5","16","5","",".269",".334",".359",".693",".306","","3.7","1.1","","2.5","","240.6","19339"
"Eduardo Escobar","NYM","138","595","541","132","25","4","26","70","82","46","127","3","1","1","",".244",".304",".447",".751",".319","","-0.1","-0.9","","2.4","","194.0","6153"
"Ian Happ","CHC","151","651","560","134","26","2","31","84","89","81","188","5","10","4","",".240",".340",".457",".797",".343","","-1.7","0.1","","2.4","","200.1","17919"
"Amed Rosario","CLE","138","595","555","153","27","6","13","73","62","31","117","3","13","4","",".276",".316",".418",".734",".316","","-3.1","1.2","","2.4","","165.2","15518"
"Danny Jansen","TOR","100","399","349","82","18","1","18","52","54","38","82","6","1","0","",".234",".318",".443",".761",".327","","0.7","-0.5","","2.4","","359.5","16535"
"Keibert Ruiz","WSN","125","506","462","125","23","1","21","59","70","35","60","5","1","0","",".270",".326",".460",".786",".336","","-0.5","-0.6","","2.4","","141.4","19610"
"Austin Meadows","TBR","141","609","540","136","30","4","28","81","94","57","134","6","7","3","",".252",".328",".477",".804",".341","","0.2","-1.4","","2.4","","136.8","15672"
"Tony Kemp","OAK","130","560","478","124","23","4","10","67","52","64","77","9","11","4","",".260",".354",".387",".741",".327","","-2.3","0.0","","2.4","","424.8","14894"
"Franmil Reyes","CLE","149","644","575","146","24","2","40","84","109","60","197","3","4","1","",".255",".326",".512",".838",".353","","0.0","-1.5","","2.3","","124.2","14566"
"Miguel Rojas","MIA","130","560","511","136","26","2","9","63","50","37","74","6","12","4","",".267",".322",".381",".703",".306","","3.3","-0.3","","2.3","","406.3","7802"
"Aaron Hicks","NYY","126","546","459","105","20","2","19","72","67","78","124","5","6","2","",".228",".343",".407",".750",".329","","-3.7","0.5","","2.3","","486.1","5297"
"Josh Jung","TEX","97","420","381","101","22","1","16","49","48","29","91","6","4","2","",".265",".324",".454",".778",".333","","1.7","-0.2","","2.3","","283.1","sa3011468"
"Chris Taylor","LAD","147","637","559","138","31","4","20","83","81","64","178","7","11","3","",".247",".330",".428",".758",".327","","-4.5","1.2","","2.3","","135.6","13757"
"Mitch Garver","MIN","102","406","354","84","18","1","19","53","55","43","115","5","2","1","",".237",".328",".457",".785",".337","","-2.9","-0.8","","2.3","","181.5","15161"
"Michael Brantley","HOU","125","539","490","144","29","2","13","70","60","39","64","5","3","1","",".295",".350",".441",".792",".341","","-0.2","-0.7","","2.3","","248.6","4106"
